"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-09-15;2026-09-15
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-09-15;2026-09-16;9,4900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147;1.149.494;-;-;-;-;-;-;-;-;-;-;-;-;147;1.149.494
2026-09-15;2026-09-16;9,5000;1;17.430;13;49.559;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3.345;-;-;16;70.334
2026-09-15;2026-09-16;9,5500;-;-;-;-;-;-;-;-;-;-;-;-;1;53.982;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;53.982
2026-09-15;2026-09-16;9,5890;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1
2026-09-15;2026-09-16;9,5900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;203;453.467;-;-;-;-;-;-;-;-;-;-;203;453.467
2026-09-15;2026-09-16;9,6000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;201.623;-;-;3;201.623
2026-09-15;2026-09-16;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;7.338;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7.338
2026-09-15;2026-09-16;9,7000;1;37.233;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;544;-;-;2;37.777
2026-09-15;2026-09-16;9,7500;2;587.500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;587.500
2026-09-15;2026-09-16;9,8000;6;15.753.921;1;18.200;-;-;-;-;-;-;-;-;38;90.841;1;499.932;-;-;-;-;-;-;-;-;-;-;-;-;46;16.362.893
2026-09-15;2026-09-16;9,8500;1;105.000;-;-;-;-;-;-;-;-;-;-;3;810.394;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;915.394
2026-09-15;2026-09-16;9,8900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;3.149;-;-;30;3.149
2026-09-15;2026-09-16;9,9000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;459.435;-;-;1;459.435
2026-09-15;2026-09-16;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;1.350;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.350
2026-09-15;2026-09-16;10,0000;10;380.291;11;53.156;-;-;28;51.679;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;36.038;97;521.163
2026-09-15;2026-09-16;10,1000;-;-;-;-;-;-;1;99.680;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;99.680
2026-09-15;2026-09-16;10,2000;-;-;-;-;-;-;-;-;-;-;1;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;28
2026-09-15;2026-09-16;10,3000;-;-;2;773.544;-;-;-;-;1;2.400.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3.173.544
2026-09-15;2026-09-16;10,3900;-;-;-;-;9;10.647;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;10.647
2026-09-15;2026-09-16;10,4000;-;-;1;375.676;-;-;-;-;-;-;1;11.165;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;24.096;4;410.937
