"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-18;2026-08-18
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-18;2026-08-19;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;14.095;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;14.095
2026-08-18;2026-08-19;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;50;26.616;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;26.616
2026-08-18;2026-08-19;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;61.103;37;61.103
2026-08-18;2026-08-19;10,8300;-;-;-;-;-;-;-;-;-;-;-;-;1;65.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;65.000
2026-08-18;2026-08-19;10,9700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;13.561;-;-;26;13.561
2026-08-18;2026-08-19;11,0000;-;-;-;-;-;-;-;-;-;-;1;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;14
2026-08-18;2026-08-19;11,0500;-;-;-;-;9;2.763;-;-;-;-;-;-;-;-;152;377.936;55;24.511;-;-;-;-;-;-;-;-;-;-;216;405.210
2026-08-18;2026-08-19;11,0600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1
2026-08-18;2026-08-19;11,0700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10.000;-;-;-;-;-;-;-;-;-;-;-;-;1;10.000
