"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-28;2026-08-28
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-28;2026-08-31;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;8.754;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8.754
2026-08-28;2026-08-31;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;35.501;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;35.501
2026-08-28;2026-08-31;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;4.320;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.320
2026-08-28;2026-08-31;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;75;31.122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;31.122
2026-08-28;2026-08-31;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;569.358;22;569.358
2026-08-28;2026-08-31;11,0000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;22;-;-;1;22
2026-08-28;2026-08-31;11,3300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;250;276.431;-;-;-;-;-;-;-;-;-;-;-;-;250;276.431
2026-08-28;2026-08-31;11,4000;2;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;37
2026-08-28;2026-08-31;11,4200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;735.117;-;-;-;-;-;-;-;-;-;-;-;-;3;735.117
2026-08-28;2026-08-31;11,4300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;13.836;1;9;-;-;-;-;8;13.844
2026-08-28;2026-08-31;11,4500;2;866;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;866
2026-08-28;2026-08-31;11,5000;7;32.340;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;32.340
2026-08-28;2026-08-31;11,5300;-;-;-;-;37;9.172;-;-;-;-;-;-;-;-;-;-;-;-;9;633;-;-;-;-;-;-;-;-;46;9.805
2026-08-28;2026-08-31;11,5400;-;-;-;-;-;-;-;-;-;-;-;-;3;234;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;234
2026-08-28;2026-08-31;11,5500;10;22.891;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;22.891
2026-08-28;2026-08-31;11,5900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;4.742;-;-;27;4.742
2026-08-28;2026-08-31;11,6000;5;5.367;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5.367
2026-08-28;2026-08-31;11,6100;-;-;-;-;-;-;-;-;-;-;-;-;1;40.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;40.000
2026-08-28;2026-08-31;11,6300;46;166.726;-;-;-;-;-;-;20;2.877;-;-;-;-;-;-;2;5.349;-;-;-;-;-;-;-;-;-;-;68;174.952
2026-08-28;2026-08-31;11,6500;3;195;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;195
2026-08-28;2026-08-31;11,6600;-;-;1;3.000;-;-;-;-;-;-;-;-;1;2.007;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5.007
2026-08-28;2026-08-31;11,6700;1;7.500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7.500
2026-08-28;2026-08-31;11,6800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;47.880;-;-;-;-;-;-;-;-;-;-;-;-;1;47.880
2026-08-28;2026-08-31;11,6900;-;-;1;445;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;445
2026-08-28;2026-08-31;11,7100;-;-;-;-;-;-;-;-;-;-;-;-;11;29.075;-;-;2;5.000;-;-;-;-;-;-;-;-;-;-;13;34.075
2026-08-28;2026-08-31;11,7300;15;90.922;25;117.001;-;-;41;55.697;-;-;1;3.000;-;-;-;-;-;-;-;-;-;-;-;-;1;5.722;-;-;83;272.343
2026-08-28;2026-08-31;11,7500;3;26.059;-;-;-;-;3;793.020;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;819.079
2026-08-28;2026-08-31;11,7800;2;54.980;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;54.980
2026-08-28;2026-08-31;11,8000;-;-;-;-;1;10.000;-;-;-;-;-;-;1;55.680;-;-;1;0;-;-;-;-;-;-;3;141.925;-;-;6;207.605
2026-08-28;2026-08-31;11,8100;-;-;-;-;-;-;-;-;-;-;-;-;13;71.428;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;71.428
2026-08-28;2026-08-31;11,8300;5;168.151;-;-;2;30.200;-;-;-;-;2;594;30;1.495.327;10;1.000.000;261;1.166.019;-;-;-;-;-;-;1;36.900;-;-;311;3.897.190
2026-08-28;2026-08-31;11,8500;2;92.600;-;-;-;-;-;-;-;-;-;-;1;44.576;-;-;-;-;-;-;-;-;-;-;3;5.934;-;-;6;143.110
2026-08-28;2026-08-31;11,8800;1;17.250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;17.250
2026-08-28;2026-08-31;11,9000;2;170.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;37.733;-;-;3;207.733
2026-08-28;2026-08-31;11,9100;1;22.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;22.000
2026-08-28;2026-08-31;11,9200;1;100.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;419.415;-;-;-;-;-;-;-;-;-;-;4;519.415
2026-08-28;2026-08-31;11,9300;4;1.303.307;1;187.000;-;-;-;-;-;-;1;15.000;2;2;2;41.660;-;-;-;-;-;-;-;-;-;-;-;-;10;1.546.969
