"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-09-23;2026-09-23
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-09-23;2026-09-24;8,1000;-;-;-;-;-;-;-;-;-;-;-;-;1;6.627;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6.627
2026-09-23;2026-09-24;8,2000;-;-;-;-;-;-;-;-;-;-;-;-;1;33.005;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;33.005
2026-09-23;2026-09-24;9,5000;-;-;-;-;-;-;-;-;-;-;-;-;35;7.286;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;7.286
2026-09-23;2026-09-24;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;80
2026-09-23;2026-09-24;9,9000;1;988;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;988
2026-09-23;2026-09-24;10,0000;1;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;20;3;121
2026-09-23;2026-09-24;10,0100;-;-;-;-;-;-;-;-;-;-;-;-;2;531;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;531
2026-09-23;2026-09-24;10,1000;108;27.997;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;108;27.997
2026-09-23;2026-09-24;10,1500;-;-;-;-;-;-;-;-;-;-;-;-;2;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;88
2026-09-23;2026-09-24;10,2000;-;-;2;7.173;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;7.173
2026-09-23;2026-09-24;10,8500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;25.327;-;-;30;25.327
2026-09-23;2026-09-24;10,9900;-;-;-;-;-;-;-;-;-;-;-;-;1;159;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;159
2026-09-23;2026-09-24;11,0000;-;-;-;-;-;-;-;-;-;-;-;-;1;157;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;157
2026-09-23;2026-09-24;11,0600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;24.619;57;24.619
2026-09-23;2026-09-24;11,2100;-;-;1;5.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5.000
2026-09-23;2026-09-24;11,2500;-;-;-;-;-;-;-;-;-;-;-;-;22;4.180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;4.180
2026-09-23;2026-09-24;11,5000;-;-;-;-;-;-;-;-;-;-;-;-;1;70.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;70.000
2026-09-23;2026-09-24;11,5600;-;-;19;121.193;-;-;42;52.615;14;3.359;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;177.167
2026-09-23;2026-09-24;11,6000;1;50.000;1;30.566;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;80.566
2026-09-23;2026-09-24;11,6600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1.290;1;3;-;-;-;-;5;1.292
2026-09-23;2026-09-24;11,7580;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;2
2026-09-23;2026-09-24;11,7600;-;-;-;-;20;1.847;-;-;-;-;-;-;-;-;-;-;193;287.329;17;15.443;-;-;-;-;-;-;-;-;230;304.618
2026-09-23;2026-09-24;11,8100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;157;353.019;-;-;-;-;-;-;-;-;-;-;-;-;157;353.019
2026-09-23;2026-09-24;11,8500;-;-;-;-;-;-;-;-;-;-;2;51.347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;51.347
2026-09-23;2026-09-24;11,8600;22;61.371;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;80.427;-;-;-;-;-;-;-;-;-;-;23;141.798
2026-09-23;2026-09-24;11,9000;3;130.987;-;-;-;-;-;-;-;-;-;-;12;3.252;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;134.239
2026-09-23;2026-09-24;11,9200;-;-;-;-;-;-;-;-;-;-;-;-;1;134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;134
2026-09-23;2026-09-24;11,9600;1;25.552;-;-;1;9.000;-;-;-;-;5;11.198;-;-;-;-;1;228.000;-;-;-;-;-;-;-;-;-;-;8;273.750
2026-09-23;2026-09-24;11,9800;1;20.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;20.000
2026-09-23;2026-09-24;12,0000;5;205.949;-;-;-;-;-;-;-;-;-;-;2;11.583;-;-;1;9.025;-;-;-;-;-;-;-;-;-;-;8;226.557
2026-09-23;2026-09-24;12,0200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;570.768;-;-;-;-;-;-;-;-;-;-;1;570.768
2026-09-23;2026-09-24;12,0400;-;-;-;-;-;-;-;-;-;-;-;-;2;357;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;357
2026-09-23;2026-09-24;12,0500;1;50.000;-;-;-;-;-;-;2;104.705;-;-;-;-;-;-;23;551.012;-;-;-;-;-;-;2;50.000;-;-;28;755.716
2026-09-23;2026-09-24;12,0600;3;120.955;2;35.245;2;400;-;-;-;-;3;53;5;151.923;-;-;2;-;-;-;-;-;-;-;2;18.980;-;-;19;327.555
2026-09-23;2026-09-24;12,0800;-;-;-;-;-;-;-;-;-;-;-;-;25;129.621;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;129.621
2026-09-23;2026-09-24;12,1000;-;-;1;168.125;1;18.000;-;-;-;-;-;-;70;977.863;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;1.163.988
2026-09-23;2026-09-24;12,1100;-;-;498;37.714;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;498;37.714
2026-09-23;2026-09-24;12,1300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;50.000;-;-;-;-;-;-;-;-;-;-;-;-;1;50.000
2026-09-23;2026-09-24;12,1500;6;2.278.987;5;103.933;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;718.703;-;-;12;3.101.623
