"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-06;2026-07-06
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-06;2026-07-07;9,3400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;1.608;-;-;21;1.608
2026-07-06;2026-07-07;9,4300;-;-;-;-;-;-;22;21.372;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;47.414;-;-;-;-;25;68.786
2026-07-06;2026-07-07;9,6000;-;-;-;-;-;-;-;-;-;-;-;-;1;42.440;1;6;-;-;-;-;-;-;-;-;-;-;-;-;2;42.446
2026-07-06;2026-07-07;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;199;129.283;201;260.082;-;-;-;-;-;-;-;-;-;-;-;-;400;389.365
2026-07-06;2026-07-07;9,7000;3;2.704;3;2.500;-;-;-;-;-;-;-;-;227;393.939;-;-;1;2.000;-;-;-;-;-;-;-;-;-;-;234;401.143
2026-07-06;2026-07-07;9,7300;39;105.731;7;35.701;29;5.134;-;-;17;15.603;2;2.674;12;1.124.923;-;-;9;36.096;9;4.406;-;-;-;-;-;-;-;-;124;1.330.268
2026-07-06;2026-07-07;9,7400;1;25.962;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;25.962
2026-07-06;2026-07-07;9,7500;-;-;-;-;-;-;-;-;-;-;1;8.880;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8.880
2026-07-06;2026-07-07;9,7800;1;144.935;-;-;-;-;-;-;-;-;-;-;-;-;1;21.455;-;-;-;-;-;-;-;-;-;-;-;-;2;166.390
2026-07-06;2026-07-07;9,8000;1;22.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;22.000
