"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-12;2026-08-12
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-12;2026-08-13;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;17.276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;17.276
2026-08-12;2026-08-13;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;2;116.243;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;116.243
2026-08-12;2026-08-13;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;10.122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10.122
2026-08-12;2026-08-13;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;103;168.209;-;-;-;-;-;-;-;-;-;-;-;-;-;-;103;168.209
2026-08-12;2026-08-13;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;41.104;26;41.104
2026-08-12;2026-08-13;10,9600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115;340.105;-;-;-;-;-;-;-;-;-;-;115;340.105
2026-08-12;2026-08-13;11,0000;-;-;-;-;-;-;-;-;-;-;1;20;-;-;-;-;1;1.419;-;-;-;-;-;-;-;-;-;-;2;1.439
2026-08-12;2026-08-13;11,1200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;9.968;-;-;25;9.968
2026-08-12;2026-08-13;11,2000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.386;-;-;-;-;-;-;-;-;-;-;1;1.386
2026-08-12;2026-08-13;11,2100;-;-;-;-;2;1.350;-;-;-;-;-;-;-;-;138;128.526;4;30.280;-;-;-;-;-;-;-;-;-;-;144;160.156
2026-08-12;2026-08-13;11,2200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1
2026-08-12;2026-08-13;11,2500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;0;1;14.075;-;-;-;-;-;-;-;-;-;-;3;14.075
2026-08-12;2026-08-13;11,3000;-;-;-;-;-;-;-;-;-;-;-;-;1;10.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10.000
