"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-31;2026-07-31
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-31;"2026-08-01 al 2026-08-03";9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;22.042;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;22.042
2026-07-31;"2026-08-01 al 2026-08-03";9,7300;-;-;-;-;-;-;-;-;-;-;-;-;2;132.214;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;132.214
2026-07-31;"2026-08-01 al 2026-08-03";9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;18.059;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;18.059
2026-07-31;"2026-08-01 al 2026-08-03";11,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;70;-;-;1;70
2026-07-31;"2026-08-01 al 2026-08-03";11,5400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;17.612;-;-;34;17.612
2026-07-31;"2026-08-01 al 2026-08-03";11,6670;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;749.905;-;-;1;749.905
2026-07-31;"2026-08-01 al 2026-08-03";11,7000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;51.943;-;-;1;51.943
2026-07-31;"2026-08-01 al 2026-08-03";11,7500;9;52.357;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;289;-;-;-;-;13;52.646
2026-07-31;"2026-08-01 al 2026-08-03";11,8900;-;-;-;-;-;-;-;-;-;-;1;6.342;1;12.185;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;18.527
