"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-20;2026-07-20
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-20;2026-07-21;9,0000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;250;-;-;-;-;-;-;-;-;-;-;1;250
2026-07-20;2026-07-21;9,6000;-;-;-;-;-;-;-;-;-;-;-;-;1;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;49
2026-07-20;2026-07-21;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;23.139;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;23.139
2026-07-20;2026-07-21;9,7000;-;-;-;-;-;-;-;-;-;-;-;-;1;361;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;361
2026-07-20;2026-07-21;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;157.478;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;157.478
2026-07-20;2026-07-21;9,8000;-;-;-;-;-;-;-;-;-;-;1;2.200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.200
2026-07-20;2026-07-21;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;12.381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;12.381
2026-07-20;2026-07-21;10,3100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;8.936;-;-;42;8.936
2026-07-20;2026-07-21;10,4500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6.050;-;-;-;-;6;6.050
2026-07-20;2026-07-21;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5.480;-;-;-;-;-;-;-;-;-;-;1;5.480
2026-07-20;2026-07-21;10,6000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3.000;-;-;-;-;-;-;-;-;-;-;1;3.000
2026-07-20;2026-07-21;10,6400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;1;4
