"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-23;2026-07-23
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-23;2026-07-24;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;15.580;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;15.580
2026-07-23;2026-07-24;9,7000;-;-;-;-;-;-;-;-;-;-;-;-;1;619;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;619
2026-07-23;2026-07-24;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;138.766;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;138.766
2026-07-23;2026-07-24;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;12.801;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;12.801
2026-07-23;2026-07-24;10,5700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;13.859;-;-;30;13.859
2026-07-23;2026-07-24;10,7000;-;-;-;-;-;-;-;-;-;-;1;1.650;1;729;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2.379
2026-07-23;2026-07-24;10,7300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;470;-;-;-;-;3;470
2026-07-23;2026-07-24;10,7500;-;-;-;-;-;-;-;-;-;-;-;-;1;268;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;268
2026-07-23;2026-07-24;10,8000;9;36.543;-;-;-;-;-;-;-;-;-;-;14;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;36.584
2026-07-23;2026-07-24;10,8500;6;3.501;-;-;-;-;-;-;-;-;-;-;1;856;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;4.358
2026-07-23;2026-07-24;10,8900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;1;0
2026-07-23;2026-07-24;10,9000;-;-;-;-;-;-;-;-;-;-;-;-;1;867;1;190.400;2;12.700;-;-;-;-;-;-;-;-;1;10;5;203.976
2026-07-23;2026-07-24;10,9200;-;-;-;-;-;-;-;-;-;-;1;15.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;15.000
2026-07-23;2026-07-24;10,9300;-;-;-;-;-;-;-;-;-;-;-;-;130;397.862;184;170.949;105;207.471;-;-;-;-;-;-;-;-;-;-;419;776.281
2026-07-23;2026-07-24;10,9600;-;-;-;-;-;-;-;-;-;-;-;-;3;228.110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;228.110
2026-07-23;2026-07-24;11,0000;1;24.919;-;-;-;-;-;-;-;-;-;-;12;65.596;1;5.392;-;-;-;-;-;-;-;-;2;2.466;-;-;16;98.373
2026-07-23;2026-07-24;11,0300;53;440.090;10;73.542;17;20.972;32;15.077;15;2.814;1;1;-;-;-;-;-;-;10;103.793;-;-;-;-;-;-;-;-;138;656.288
2026-07-23;2026-07-24;11,0500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;15.522;-;-;1;15.522
2026-07-23;2026-07-24;11,1000;2;1.100.000;-;-;-;-;-;-;-;-;-;-;2;2;1;38.400;2;900.000;-;-;-;-;-;-;-;-;-;-;7;2.038.402
2026-07-23;2026-07-24;11,1200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;106;32.950;-;-;-;-;-;-;-;-;-;-;106;32.950
2026-07-23;2026-07-24;11,1300;8;227.790;3;36.334;-;-;1;100.000;-;-;2;16;120;633.862;1;19.935;5;2.534.690;-;-;8;6.085;-;-;-;-;64;55.272;212;3.613.984
2026-07-23;2026-07-24;11,1500;-;-;2;82.860;-;-;-;-;-;-;1;100.000;1;700.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;882.860
2026-07-23;2026-07-24;11,1700;-;-;-;-;-;-;-;-;-;-;-;-;2;117.700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;117.700
2026-07-23;2026-07-24;11,1800;-;-;1;109.620;-;-;-;-;-;-;-;-;-;-;1;6.073;-;-;-;-;-;-;-;-;-;-;-;-;2;115.693
2026-07-23;2026-07-24;11,2000;2;2.162.392;4;88.452;-;-;1;128.260;-;-;1;30.000;-;-;-;-;-;-;-;-;-;-;-;-;2;120.000;-;-;10;2.529.104
2026-07-23;2026-07-24;11,2100;1;100.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;100.000
2026-07-23;2026-07-24;11,2200;1;32.649;-;-;-;-;-;-;-;-;-;-;-;-;1;350.000;-;-;-;-;-;-;-;-;-;-;-;-;2;382.649
2026-07-23;2026-07-24;11,2300;6;3.159.075;44;33.861;-;-;-;-;-;-;-;-;-;-;2;479.932;-;-;-;-;-;-;-;-;-;-;-;-;52;3.672.868
