"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-28;2026-07-28
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-28;2026-07-29;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;16.429;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;16.429
2026-07-28;2026-07-29;9,7000;-;-;-;-;-;-;-;-;-;-;-;-;1;103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;103
2026-07-28;2026-07-29;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;124.999;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;124.999
2026-07-28;2026-07-29;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;9.251;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9.251
2026-07-28;2026-07-29;10,8500;-;-;-;-;-;-;-;-;-;-;-;-;1;92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;92
2026-07-28;2026-07-29;10,9000;-;-;-;-;-;-;-;-;-;-;-;-;1;999;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;999
2026-07-28;2026-07-29;10,9600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;2.991;-;-;25;2.991
2026-07-28;2026-07-29;11,0000;-;-;-;-;-;-;-;-;-;-;-;-;1;182;-;-;-;-;-;-;-;-;-;-;2;2.615;-;-;3;2.797
2026-07-28;2026-07-29;11,1300;-;-;-;-;-;-;-;-;-;-;-;-;1;175;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;175
2026-07-28;2026-07-29;11,1400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;739;-;-;-;-;6;739
2026-07-28;2026-07-29;11,1500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;249.200;-;-;2;249.200
2026-07-28;2026-07-29;11,1700;-;-;-;-;-;-;-;-;-;-;-;-;1;20;-;-;2;66;-;-;-;-;-;-;-;-;-;-;3;86
2026-07-28;2026-07-29;11,2100;-;-;-;-;-;-;-;-;-;-;-;-;1;183;-;-;-;-;-;-;-;-;1;41.728;-;-;-;-;2;41.911
