"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-09-24;2026-09-24
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-09-24;2026-09-25;8,1000;-;-;-;-;-;-;-;-;-;-;-;-;1;2.274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.274
2026-09-24;2026-09-25;8,2000;-;-;-;-;-;-;-;-;-;-;-;-;1;28.800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;28.800
2026-09-24;2026-09-25;9,5000;-;-;-;-;-;-;-;-;-;-;-;-;16;1.588;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;1.588
2026-09-24;2026-09-25;9,8300;-;-;-;-;-;-;-;-;-;-;-;-;1;153;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;153
2026-09-24;2026-09-25;9,9000;1;183;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;183
2026-09-24;2026-09-25;10,0000;1;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;40
2026-09-24;2026-09-25;10,1000;6;11.885;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;11.885
2026-09-24;2026-09-25;10,1500;-;-;-;-;-;-;-;-;-;-;-;-;1;99;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;99
2026-09-24;2026-09-25;10,5200;-;-;1;2.800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.800
2026-09-24;2026-09-25;10,9000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;33;1;33
2026-09-24;2026-09-25;11,0000;-;-;-;-;-;-;-;-;-;-;-;-;1;109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;109
2026-09-24;2026-09-25;11,0300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;2.461;-;-;14;2.461
2026-09-24;2026-09-25;11,2500;-;-;-;-;-;-;-;-;-;-;-;-;8;2.172;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;2.172
2026-09-24;2026-09-25;11,2600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;59.356;43;59.356
2026-09-24;2026-09-25;11,6000;-;-;-;-;-;-;1;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;50
2026-09-24;2026-09-25;11,7600;-;-;13;20.739;-;-;-;-;10;271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;21.010
2026-09-24;2026-09-25;11,8600;3;2.992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;15.123;-;-;-;-;-;-;7;18.115
2026-09-24;2026-09-25;11,9000;-;-;-;-;-;-;-;-;-;-;-;-;3;1.496;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1.496
2026-09-24;2026-09-25;11,9470;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;1;0
2026-09-24;2026-09-25;11,9600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;185;180.715;9;18.000;-;-;-;-;-;-;-;-;194;198.715
2026-09-24;2026-09-25;12,0000;135;107.907;6;24.565;-;-;-;-;1;500.000;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;143;632.472
2026-09-24;2026-09-25;12,0100;-;-;-;-;-;-;-;-;1;1.000.000;-;-;-;-;146;1.203.001;-;-;-;-;-;-;-;-;-;-;-;-;147;2.203.001
2026-09-24;2026-09-25;12,0200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.429.232;-;-;-;-;-;-;-;-;-;-;1;1.429.232
2026-09-24;2026-09-25;12,0500;-;-;-;-;-;-;-;-;-;-;-;-;1;606;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;606
2026-09-24;2026-09-25;12,0600;49;5.135.319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;5.135.319
2026-09-24;2026-09-25;12,1000;2;205.302;4;53.038;-;-;-;-;-;-;-;-;34;40.206;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;298.547
2026-09-24;2026-09-25;12,1500;-;-;-;-;-;-;-;-;1;8.770;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;95;-;-;2;8.865
2026-09-24;2026-09-25;12,1600;1;39.017;-;-;-;-;-;-;-;-;6;15.600;-;-;-;-;3;93.915;-;-;-;-;-;-;-;-;-;-;10;148.533
2026-09-24;2026-09-25;12,1800;-;-;-;-;-;-;-;-;1;18.240;-;-;-;-;-;-;1;25.331;-;-;-;-;-;-;-;-;-;-;2;43.571
2026-09-24;2026-09-25;12,2000;2;289.000;309;328.088;-;-;-;-;-;-;-;-;-;-;1;100.000;1;183.005;-;-;-;-;-;-;-;-;-;-;313;900.093
2026-09-24;2026-09-25;12,2300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;299.985;-;-;-;-;-;-;-;-;-;-;1;299.985
2026-09-24;2026-09-25;12,2400;-;-;-;-;-;-;-;-;-;-;-;-;26;62.105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;62.105
2026-09-24;2026-09-25;12,2450;1;16.032.350;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;16.032.350
2026-09-24;2026-09-25;12,2500;1;500.000;-;-;-;-;-;-;-;-;-;-;-;-;1;499.932;26;1.441;-;-;-;-;-;-;-;-;-;-;28;1.001.373
2026-09-24;2026-09-25;12,2580;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;585.500;-;-;-;-;-;-;-;-;-;-;3;585.500
2026-09-24;2026-09-25;12,2600;-;-;1;32.353;-;-;-;-;-;-;2;101;50;924.798;1;280.000;-;-;-;-;1;800;-;-;-;-;-;-;55;1.238.052
