"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-09-09;2026-09-09
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-09-09;2026-09-10;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;7.464;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7.464
2026-09-09;2026-09-10;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;49.662;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;49.662
2026-09-09;2026-09-10;9,9600;-;-;1;398;-;-;-;-;-;-;-;-;1;7.745;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;8.143
2026-09-09;2026-09-10;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;42;10.403;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;10.403
2026-09-09;2026-09-10;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;1;9.992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9.992
2026-09-09;2026-09-10;11,0000;-;-;-;-;-;-;-;-;-;-;-;-;1;500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;500
2026-09-09;2026-09-10;11,2000;-;-;-;-;-;-;-;-;-;-;-;-;1;674;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;674
2026-09-09;2026-09-10;11,3000;2;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;10.860;43;10.879
2026-09-09;2026-09-10;11,4000;2;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;72
2026-09-09;2026-09-10;11,5000;5;669;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;669
2026-09-09;2026-09-10;11,5500;2;1.289;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1.289
2026-09-09;2026-09-10;11,6000;4;740;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;740
2026-09-09;2026-09-10;11,8000;-;-;-;-;-;-;-;-;-;-;1;4.100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.100
2026-09-09;2026-09-10;11,8500;6;942;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;942
2026-09-09;2026-09-10;11,9000;-;-;-;-;-;-;-;-;-;-;-;-;2;279.975;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;279.975
2026-09-09;2026-09-10;11,9400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;169;248.959;-;-;-;-;-;-;-;-;-;-;169;248.959
2026-09-09;2026-09-10;11,9500;6;5.032;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;5.032
2026-09-09;2026-09-10;12,0000;37;593.881;13;732.387;-;-;39;45.085;-;-;1;19.906;-;-;-;-;1;1.100;-;-;-;-;-;-;3;2.962;-;-;94;1.395.320
2026-09-09;2026-09-10;12,0100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;23.385;-;-;30;23.385
2026-09-09;2026-09-10;12,0500;2;13.354;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;55.679;-;-;4;69.033
2026-09-09;2026-09-10;12,1000;10;68.529;10;2.975.497;1;500.000;2;2.199.990;1;1.000.000;-;-;4;6.494.324;1;1.000.000;1;1.000.000;-;-;-;-;-;-;4;92.385;-;-;34;15.330.726
2026-09-09;2026-09-10;12,1100;-;-;-;-;-;-;-;-;-;-;-;-;1;400.658;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;400.658
2026-09-09;2026-09-10;12,1160;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2.899.810;-;-;2;2.899.810
2026-09-09;2026-09-10;12,1200;-;-;-;-;-;-;-;-;-;-;-;-;1;737.576;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;737.576
2026-09-09;2026-09-10;12,1400;-;-;-;-;-;-;-;-;16;9.998;-;-;-;-;204;535.085;147;335.927;-;-;-;-;-;-;-;-;-;-;367;881.010
2026-09-09;2026-09-10;12,1500;-;-;1;39.950;-;-;-;-;-;-;-;-;-;-;1;99.945;-;-;-;-;-;-;-;-;-;-;-;-;2;139.895
2026-09-09;2026-09-10;12,2000;-;-;4;232.295;-;-;-;-;-;-;1;20.000;-;-;1;99.860;-;-;-;-;-;-;-;-;-;-;-;-;6;352.155
2026-09-09;2026-09-10;12,2400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3.001;1;12;-;-;-;-;5;3.013
2026-09-09;2026-09-10;12,2500;-;-;-;-;-;-;-;-;-;-;1;30.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;30.000
2026-09-09;2026-09-10;12,2600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;110.000;-;-;-;-;-;-;-;-;-;-;-;-;2;110.000
2026-09-09;2026-09-10;12,3000;-;-;1;4.000;-;-;-;-;-;-;2;54.210;-;-;2;1.449.865;-;-;-;-;-;-;-;-;-;-;-;-;5;1.508.075
2026-09-09;2026-09-10;12,3200;-;-;-;-;1;1;1;399.975;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;399.976
2026-09-09;2026-09-10;12,3400;-;-;16;106.164;10;56.369;-;-;-;-;-;-;1;19.988;1;17.510;-;-;31;88.040;-;-;-;-;-;-;-;-;59;288.070
2026-09-09;2026-09-10;12,3500;16;228.698;-;-;-;-;-;-;-;-;-;-;-;-;3;850.000;-;-;-;-;-;-;-;-;-;-;-;-;19;1.078.698
2026-09-09;2026-09-10;12,3600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5.509.727;-;-;-;-;-;-;-;-;-;-;-;-;1;5.509.727
2026-09-09;2026-09-10;12,3900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;49.992;-;-;12;49.992
2026-09-09;2026-09-10;12,4000;6;26.804.879;1;100.000;-;-;-;-;2;6.950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;26.911.829
2026-09-09;2026-09-10;12,4400;1;1.500;-;-;-;-;-;-;-;-;-;-;-;-;3;220.000;-;-;-;-;-;-;-;-;-;-;-;-;4;221.500
2026-09-09;2026-09-10;12,4900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;348.133;-;-;-;-;-;-;-;-;-;-;-;-;1;348.133
2026-09-09;2026-09-10;12,5000;29;90.373;1;59.988;-;-;-;-;2;102.475;1;216.731;-;-;-;-;1;99.975;-;-;-;-;-;-;-;-;-;-;34;569.542
2026-09-09;2026-09-10;12,5300;-;-;-;-;-;-;-;-;-;-;-;-;2;179.930;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;179.930
2026-09-09;2026-09-10;12,5400;-;-;1;20.000;-;-;-;-;-;-;5;1.459;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.000.000;7;2.021.459
2026-09-09;2026-09-10;12,5500;-;-;2;1.500.895;-;-;-;-;1;70.685;-;-;-;-;1;99.517;-;-;-;-;-;-;-;-;-;-;-;-;4;1.671.097
2026-09-09;2026-09-10;12,5600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;47.700;-;-;-;-;-;-;-;-;-;-;-;-;6;47.700
2026-09-09;2026-09-10;12,5900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;27.850;-;-;-;-;-;-;-;-;-;-;-;-;1;27.850
2026-09-09;2026-09-10;12,6000;-;-;-;-;-;-;1;600.000;1;2.350;1;2.000.000;24;52.109;-;-;3;2.061.557;-;-;-;-;-;-;-;-;-;-;30;4.716.016
2026-09-09;2026-09-10;12,6100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;282.000;-;-;-;-;1;282.000
2026-09-09;2026-09-10;12,6200;-;-;-;-;-;-;-;-;2;488.727;-;-;17;110.167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;598.894
