"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-30;2026-07-30
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-30;2026-07-31;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;14.420;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;14.420
2026-07-30;2026-07-31;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;119.433;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;119.433
2026-07-30;2026-07-31;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;15.291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;15.291
2026-07-30;2026-07-31;11,3000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;6.280;-;-;32;6.280
2026-07-30;2026-07-31;11,4900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;660;-;-;-;-;3;660
2026-07-30;2026-07-31;11,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;46.894;-;-;6;46.894
2026-07-30;2026-07-31;11,5400;-;-;-;-;-;-;-;-;-;-;-;-;1;3.425;-;-;-;-;-;-;-;-;-;-;-;-;1;10;2;3.434
2026-07-30;2026-07-31;11,6000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5.405;-;-;1;5.405
2026-07-30;2026-07-31;11,6400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.000;-;-;-;-;-;-;-;-;-;-;1;1.000
2026-07-30;2026-07-31;11,6900;-;-;-;-;-;-;46;40.978;-;-;-;-;165;78.901;262;399.578;140;384.504;-;-;-;-;-;-;-;-;-;-;613;903.961
2026-07-30;2026-07-31;11,7000;-;-;-;-;-;-;-;-;-;-;1;33.930;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;2;33.930
2026-07-30;2026-07-31;11,7500;6;12.865;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;12.865
2026-07-30;2026-07-31;11,7900;41;85.655;20;62.600;25;15.850;-;-;22;2.470;5;1.054;-;-;-;-;1;18.650;15;11.361;-;-;-;-;-;-;-;-;129;197.639
2026-07-30;2026-07-31;11,8000;-;-;1;49.925;-;-;-;-;-;-;-;-;19;4.197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;54.122
2026-07-30;2026-07-31;11,8300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;7.732;-;-;2;7.732
2026-07-30;2026-07-31;11,8800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;168;52.975;-;-;-;-;-;-;-;-;-;-;168;52.975
2026-07-30;2026-07-31;11,8899;-;-;-;-;-;-;-;-;-;-;-;-;1;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;20
2026-07-30;2026-07-31;11,8900;7;477.784;3;52.414;6;2.011;2;114.940;-;-;3;8.719;196;1.131.070;-;-;14;1.459;-;-;11;5.585;-;-;-;-;85;373.220;327;2.167.201
2026-07-30;2026-07-31;11,8901;-;-;-;-;-;-;-;-;-;-;-;-;1;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;30
2026-07-30;2026-07-31;11,9000;3;86.267;38;24.970;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;111.237
2026-07-30;2026-07-31;11,9300;1;16.799;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;16.799
2026-07-30;2026-07-31;11,9500;1;150.628;1;100.000;-;-;-;-;-;-;1;30.415;-;-;1;199.948;-;-;-;-;-;-;-;-;-;-;-;-;4;480.991
2026-07-30;2026-07-31;11,9510;-;-;-;-;-;-;-;-;-;-;-;-;1;89.960;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;89.960
2026-07-30;2026-07-31;11,9800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;44.405;-;-;1;44.405
2026-07-30;2026-07-31;11,9900;3;367.901;7;175.559;-;-;-;-;-;-;-;-;1;1;2;100.000;-;-;-;-;-;-;-;-;-;-;-;-;13;643.462
