"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-06-29;2026-06-29
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-06-29;2026-06-30;8,0000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;34.975;-;-;-;-;-;-;-;-;-;-;1;34.975
2026-06-29;2026-06-30;8,3000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;49.204;-;-;-;-;-;-;-;-;-;-;1;49.204
2026-06-29;2026-06-30;8,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;92.667;-;-;-;-;-;-;-;-;-;-;2;92.667
2026-06-29;2026-06-30;9,1000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;30.000;-;-;-;-;-;-;-;-;-;-;1;30.000
2026-06-29;2026-06-30;9,2300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;2
2026-06-29;2026-06-30;9,2400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;5.589;-;-;20;5.589
2026-06-29;2026-06-30;9,6300;-;-;11;88.037;23;8.870;-;-;-;-;-;-;253;438.730;-;-;-;-;21;10.687;-;-;-;-;-;-;-;-;308;546.324
2026-06-29;2026-06-30;9,6600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;11.538;-;-;1;11.538
2026-06-29;2026-06-30;9,6700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;1;0
2026-06-29;2026-06-30;9,6800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;232;445.169;-;-;-;-;-;-;-;-;-;-;-;-;232;445.169
2026-06-29;2026-06-30;9,6900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1
2026-06-29;2026-06-30;9,7000;2;410;-;-;-;-;-;-;-;-;-;-;73;300.885;-;-;1;21.410;-;-;-;-;-;-;2;115;-;-;78;322.820
2026-06-29;2026-06-30;9,7200;1;507.000;-;-;-;-;-;-;-;-;-;-;16;13.752;1;49.000;-;-;-;-;-;-;-;-;1;19.095;-;-;19;588.847
2026-06-29;2026-06-30;9,7250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1
2026-06-29;2026-06-30;9,7300;1;1.500.000;-;-;-;-;46;86.920;21;105.419;9;123.435;483;966.621;-;-;286;193.334;-;-;7;7.542;1;730;-;-;116;676.658;970;3.660.659
2026-06-29;2026-06-30;9,7310;1;700.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;700.000
2026-06-29;2026-06-30;9,7320;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;-;-;-;-;-;-;-;-;-;-;2;5
