"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-21;2026-08-21
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-21;"2026-08-22 al 2026-08-24";9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;20.400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;20.400
2026-08-21;"2026-08-22 al 2026-08-24";9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;68.500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;68.500
2026-08-21;"2026-08-22 al 2026-08-24";9,9600;-;-;-;-;-;-;-;-;-;-;-;-;2;2.951;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2.951
2026-08-21;"2026-08-22 al 2026-08-24";10,0000;-;-;-;-;-;-;-;-;-;-;-;-;78;9.292;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78;9.292
2026-08-21;"2026-08-22 al 2026-08-24";10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;3.765;18;3.765
2026-08-21;"2026-08-22 al 2026-08-24";10,9400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;6.362;-;-;24;6.362
2026-08-21;"2026-08-22 al 2026-08-24";11,0000;-;-;-;-;-;-;-;-;-;-;-;-;1;3.775;1;0;-;-;-;-;-;-;-;-;-;-;-;-;2;3.775
2026-08-21;"2026-08-22 al 2026-08-24";11,0200;-;-;-;-;12;1.706;-;-;-;-;-;-;-;-;182;139.794;-;-;-;-;-;-;-;-;-;-;-;-;194;141.499
2026-08-21;"2026-08-22 al 2026-08-24";11,0300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1
2026-08-21;"2026-08-22 al 2026-08-24";11,1200;-;-;1;3.000;-;-;-;-;-;-;-;-;-;-;5;5.019;-;-;-;-;2;1.029;-;-;-;-;-;-;8;9.047
2026-08-21;"2026-08-22 al 2026-08-24";11,2200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;8.319;-;-;-;-;-;-;-;-;22;8.319
2026-08-21;"2026-08-22 al 2026-08-24";11,3000;5;5.260;1;300.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;-;7;305.265
2026-08-21;"2026-08-22 al 2026-08-24";11,3128;-;-;-;-;-;-;-;-;-;-;-;-;1;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;16
2026-08-21;"2026-08-22 al 2026-08-24";11,3200;49;219.065;-;-;-;-;-;-;27;149.951;-;-;-;-;-;-;209;446.417;-;-;-;-;-;-;-;-;-;-;285;815.433
2026-08-21;"2026-08-22 al 2026-08-24";11,3800;1;19.954;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;19.954
2026-08-21;"2026-08-22 al 2026-08-24";11,4000;13;43.261;-;-;1;30.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;73.261
2026-08-21;"2026-08-22 al 2026-08-24";11,4200;5;8.870;1;14.500;-;-;-;-;-;-;2;4.597;-;-;-;-;1;11.842;-;-;-;-;-;-;-;-;-;-;9;39.810
