"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-02;2026-07-02
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-02;2026-07-03;9,2900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;19.191;-;-;27;19.191
2026-07-02;2026-07-03;9,3800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2.640;-;-;-;-;2;2.640
2026-07-02;2026-07-03;9,4800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;4.502;-;-;-;-;-;-;-;-;8;4.502
2026-07-02;2026-07-03;9,5600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;190.740;-;-;-;-;-;-;-;-;-;-;-;-;1;190.740
2026-07-02;2026-07-03;9,5800;-;-;-;-;-;-;-;-;-;-;-;-;152;190.091;187;171.363;-;-;-;-;-;-;-;-;-;-;-;-;339;361.454
2026-07-02;2026-07-03;9,6000;-;-;-;-;-;-;-;-;-;-;-;-;121;29.727;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121;29.727
2026-07-02;2026-07-03;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;3;31.045;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;31.045
2026-07-02;2026-07-03;9,6600;3;1.973;-;-;-;-;-;-;-;-;-;-;2;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1.981
2026-07-02;2026-07-03;9,6800;28;130.934;33;24.304;15;2.149;33;280.180;12;40.169;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121;477.737
2026-07-02;2026-07-03;9,7000;-;-;-;-;-;-;-;-;-;-;-;-;176;280.051;1;6.940;-;-;-;-;-;-;-;-;1;19.780;-;-;178;306.771
2026-07-02;2026-07-03;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;63;1.338.543;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;1.338.543
2026-07-02;2026-07-03;9,7500;4;6.471;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;1;12.651;-;-;6;19.122
2026-07-02;2026-07-03;9,7600;3;178.860;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;178.860
2026-07-02;2026-07-03;9,7700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;44.000;-;-;-;-;-;-;1;5.576;-;-;3;49.576
2026-07-02;2026-07-03;9,7760;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1
2026-07-02;2026-07-03;9,7800;5;383.854;1;112.383;9;25.562;-;-;-;-;2;16;18;101.353;1;114.000;1.062;1.523.349;-;-;3;2.262;-;-;3;23.434;75;209.115;1.179;2.495.327
2026-07-02;2026-07-03;9,7810;-;-;-;-;-;-;-;-;-;-;-;-;1;382.982;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;382.982
2026-07-02;2026-07-03;9,7850;2;430.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;430.000
2026-07-02;2026-07-03;9,7900;-;-;-;-;-;-;1;500.000;-;-;-;-;1;447.982;-;-;1;999.960;-;-;-;-;-;-;1;133.518;-;-;4;2.081.460
2026-07-02;2026-07-03;9,8000;3;100.039;-;-;-;-;1;700.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;89.818;-;-;6;889.857
2026-07-02;2026-07-03;9,8050;1;1.020.800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.020.800
2026-07-02;2026-07-03;9,8100;1;49.970;-;-;-;-;1;139.983;-;-;-;-;-;-;1;187.600;-;-;-;-;-;-;-;-;1;127.405;-;-;4;504.958
2026-07-02;2026-07-03;9,8150;1;3.000.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3.000.000
