"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-20;2026-08-20
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-20;2026-08-21;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;16.394;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;16.394
2026-08-20;2026-08-21;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;33.998;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;33.998
2026-08-20;2026-08-21;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;4.996;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.996
2026-08-20;2026-08-21;10,0000;-;-;-;-;-;-;-;-;-;-;1;198;40;11.031;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;11.229
2026-08-20;2026-08-21;10,5000;-;-;-;-;-;-;-;-;-;-;1;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;1.896;27;1.917
2026-08-20;2026-08-21;10,9400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;4.939;-;-;17;4.939
2026-08-20;2026-08-21;11,0100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;-;-;-;-;-;-;-;-;-;-;-;-;4;3
2026-08-20;2026-08-21;11,0200;-;-;-;-;14;1.321;-;-;-;-;-;-;-;-;156;280.315;-;-;-;-;-;-;-;-;-;-;-;-;170;281.636
2026-08-20;2026-08-21;11,1200;-;-;15;49.333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1.104;-;-;-;-;-;-;20;50.437
2026-08-20;2026-08-21;11,2000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;105;-;-;1;105
2026-08-20;2026-08-21;11,2200;1;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;13.867;-;-;-;-;-;-;-;-;19;14.067
