"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-27;2026-08-27
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-27;2026-08-28;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;10.301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10.301
2026-08-27;2026-08-28;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;44.002;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;44.002
2026-08-27;2026-08-28;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;7.220;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7.220
2026-08-27;2026-08-28;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;139;74.574;-;-;-;-;-;-;-;-;-;-;-;-;-;-;139;74.574
2026-08-27;2026-08-28;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;17.444;16;17.444
2026-08-27;2026-08-28;11,0700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;1;5
2026-08-27;2026-08-28;11,2100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;137.467;-;-;-;-;-;-;-;-;-;-;-;-;154;137.467
2026-08-27;2026-08-28;11,2200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;3;1
2026-08-27;2026-08-28;11,3000;3;2.360;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2.360
