"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-05;2026-08-05
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-05;"2026-08-06 al 2026-08-10";9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;24.731;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;24.731
2026-08-05;"2026-08-06 al 2026-08-10";9,7300;-;-;-;-;-;-;-;-;-;-;-;-;5;169.831;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;169.831
2026-08-05;"2026-08-06 al 2026-08-10";9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;9.447;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9.447
2026-08-05;"2026-08-06 al 2026-08-10";10,5000;-;-;-;-;-;-;-;-;-;-;-;-;79;22.430;-;-;-;-;-;-;-;-;-;-;-;-;-;-;79;22.430
2026-08-05;"2026-08-06 al 2026-08-10";10,7500;-;-;-;-;-;-;-;-;-;-;-;-;1;1.018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.018
2026-08-05;"2026-08-06 al 2026-08-10";11,1300;-;-;-;-;-;-;-;-;-;-;-;-;1;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;49
2026-08-05;"2026-08-06 al 2026-08-10";11,4000;-;-;-;-;-;-;59;35.177;-;-;-;-;1;40.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;75.177
2026-08-05;"2026-08-06 al 2026-08-10";11,4200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;89.011;-;-;30;89.011
2026-08-05;"2026-08-06 al 2026-08-10";11,4900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1
