"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-08;2026-07-08
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-08;2026-07-09;9,2700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;150.000;-;-;1;150.000
2026-07-08;2026-07-09;9,4600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;8.026;-;-;22;8.026
2026-07-08;2026-07-09;9,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;150.000;-;-;-;-;-;-;-;-;-;-;1;150.000
2026-07-08;2026-07-09;9,5600;-;-;-;-;-;-;15;3.236;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;422;-;-;-;-;18;3.658
2026-07-08;2026-07-09;9,6000;-;-;-;-;-;-;-;-;-;-;-;-;1;16.886;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;16.886
2026-07-08;2026-07-09;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;27.213;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;27.213
2026-07-08;2026-07-09;9,6600;-;-;-;-;-;-;-;-;-;-;-;-;1;36.855;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;36.855
2026-07-08;2026-07-09;9,6900;-;-;-;-;-;-;-;-;-;-;-;-;4;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;20
2026-07-08;2026-07-09;9,7000;-;-;-;-;-;-;-;-;-;-;-;-;34;27.902;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;27.902
2026-07-08;2026-07-09;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;2;250.203;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;250.203
2026-07-08;2026-07-09;9,7600;-;-;-;-;-;-;-;-;-;-;-;-;232;1.510.509;145;278.412;1;51;-;-;-;-;-;-;-;-;-;-;378;1.788.972
2026-07-08;2026-07-09;9,7900;1;242;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;242
2026-07-08;2026-07-09;9,8000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2.990;-;-;-;-;-;-;6;4.752;-;-;10;7.742
2026-07-08;2026-07-09;9,8600;55;224.706;12;7.752;10;3.320;-;-;22;12.445;-;-;-;-;-;-;87;258.331;13;57.246;-;-;-;-;-;-;-;-;199;563.800
2026-07-08;2026-07-09;9,8700;1;34.660;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;34.660
2026-07-08;2026-07-09;9,8800;2;2.288;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2.288
2026-07-08;2026-07-09;9,8900;1;39.620;-;-;-;-;-;-;-;-;1;125.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;164.620
2026-07-08;2026-07-09;9,9000;2;108.822;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;108.822
2026-07-08;2026-07-09;9,9100;1;70.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;70.000
2026-07-08;2026-07-09;9,9500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105;2.812.505;-;-;-;-;-;-;-;-;-;-;105;2.812.505
2026-07-08;2026-07-09;9,9600;10;354.128;2;362.603;-;-;2;32.097;-;-;-;-;2;17;2;7.042;3;6.501;-;-;3;1.101;-;-;1;29.900;68;47.994;93;841.382
2026-07-08;2026-07-09;9,9603;-;-;-;-;-;-;-;-;-;-;-;-;2;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;37
2026-07-08;2026-07-09;9,9649;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
2026-07-08;2026-07-09;9,9700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;41.340;-;-;-;-;-;-;-;-;-;-;-;-;1;41.340
2026-07-08;2026-07-09;9,9800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;150.000;-;-;2;150.000
2026-07-08;2026-07-09;9,9900;-;-;-;-;-;-;-;-;-;-;-;-;3;94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;94
2026-07-08;2026-07-09;10,0000;3;767.287;-;-;-;-;-;-;-;-;-;-;1;150.000;-;-;2;-;-;-;-;-;-;-;-;-;-;-;6;917.287
2026-07-08;2026-07-09;10,0200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3.093.065;-;-;-;-;-;-;-;-;-;-;-;-;3;3.093.065
2026-07-08;2026-07-09;10,0300;-;-;-;-;-;-;-;-;-;-;-;-;1;184.529;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;184.529
2026-07-08;2026-07-09;10,0500;-;-;-;-;-;-;-;-;-;-;-;-;1;400.000;-;-;-;-;-;-;-;-;-;-;1;13.905;-;-;2;413.905
2026-07-08;2026-07-09;10,0600;2;207.875;-;-;-;-;-;-;-;-;-;-;-;-;4;560.000;-;-;-;-;-;-;-;-;-;-;-;-;6;767.875
2026-07-08;2026-07-09;10,0700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;375.918;-;-;-;-;-;-;1;113.600;-;-;2;489.518
2026-07-08;2026-07-09;10,1000;3;246.999;3;499.444;-;-;-;-;-;-;-;-;2;1.977.845;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;2.724.288
2026-07-08;2026-07-09;10,1500;-;-;6;394.967;-;-;-;-;-;-;1;300.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;694.967
2026-07-08;2026-07-09;10,1600;2;523.491;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;523.491
2026-07-08;2026-07-09;10,1750;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;129.288;-;-;1;129.288
2026-07-08;2026-07-09;10,1850;1;100.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;100.000
2026-07-08;2026-07-09;10,2410;-;-;-;-;-;-;-;-;-;-;-;-;1;1.500.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.500.000
2026-07-08;2026-07-09;10,2500;-;-;-;-;-;-;-;-;-;-;-;-;1;500.000;1;1.000.000;-;-;-;-;-;-;-;-;-;-;-;-;2;1.500.000
2026-07-08;2026-07-09;10,2550;1;1.000.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.000.000
2026-07-08;2026-07-09;10,2650;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1.659.895;-;-;-;-;-;-;-;-;-;-;-;-;3;1.659.895
2026-07-08;2026-07-09;10,3050;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;499.880;-;-;1;499.880
2026-07-08;2026-07-09;10,3490;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;5.000.000;-;-;-;-;-;-;-;-;-;-;-;-;3;5.000.000
2026-07-08;2026-07-09;TOTAL;85;3.680.119;23;1.264.766;10;3.320;17;35.333;22;12.445;2;425.000;290;6.582.110;162;11.639.754;204;3.606.295;13;57.246;3;1.101;3;422;36;1.099.352;68;47.994;938;28.455.257
2026-07-08;2026-07-09;TCO;10,09;;10,07;;9,86;;9,92;;9,86;;10,07;;10,04;;10,21;;9,94;;9,86;;9,96;;9,56;;10,06;;9,96;;10,10;

