"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-04;2026-08-04
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-04;2026-08-05;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;219.920;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;219.920
2026-08-04;2026-08-05;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;2;26.643;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;26.643
2026-08-04;2026-08-05;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;108;32.911;-;-;-;-;-;-;-;-;-;-;-;-;-;-;108;32.911
2026-08-04;2026-08-05;10,7000;-;-;-;-;-;-;-;-;-;-;-;-;29;9.278;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;9.278
2026-08-04;2026-08-05;11,0000;-;-;-;-;-;-;-;-;-;-;-;-;1;9.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9.000
2026-08-04;2026-08-05;11,4800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;17.369;-;-;48;17.369
2026-08-04;2026-08-05;11,5000;-;-;-;-;-;-;48;21.021;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;21.021
2026-08-04;2026-08-05;11,6000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;50.350;-;-;1;50.350
2026-08-04;2026-08-05;11,6800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;330;1.406.770;-;-;-;-;9;14.353;-;-;-;-;339;1.421.123
