"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-14;2026-08-14
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-14;"2026-08-15 al 2026-08-17";9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;7.531;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7.531
2026-08-14;"2026-08-15 al 2026-08-17";9,7300;-;-;-;-;-;-;-;-;-;-;-;-;2;28.389;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;28.389
2026-08-14;"2026-08-15 al 2026-08-17";9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;7.208;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7.208
2026-08-14;"2026-08-15 al 2026-08-17";10,0000;-;-;-;-;-;-;-;-;-;-;2;103;83;17.665;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85;17.768
2026-08-14;"2026-08-15 al 2026-08-17";10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;10.019;24;10.019
2026-08-14;"2026-08-15 al 2026-08-17";10,5500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.290;-;-;-;-;-;-;-;-;-;-;1;1.290
2026-08-14;"2026-08-15 al 2026-08-17";11,0400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;3.621;-;-;24;3.621
2026-08-14;"2026-08-15 al 2026-08-17";11,1200;-;-;-;-;8;355;-;-;-;-;-;-;-;-;145;128.091;220;287.711;-;-;-;-;-;-;-;-;-;-;373;416.158
2026-08-14;"2026-08-15 al 2026-08-17";11,1300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;1;0
2026-08-14;"2026-08-15 al 2026-08-17";11,2000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;1;0
2026-08-14;"2026-08-15 al 2026-08-17";11,2200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1
2026-08-14;"2026-08-15 al 2026-08-17";11,3000;-;-;-;-;-;-;29;13.280;-;-;-;-;-;-;1;18.368;-;-;-;-;-;-;-;-;-;-;-;-;30;31.648
2026-08-14;"2026-08-15 al 2026-08-17";11,3200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;48.160;-;-;24;50.458;-;-;-;-;-;-;-;-;26;98.618
2026-08-14;"2026-08-15 al 2026-08-17";11,3500;3;810;-;-;1;8.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;8.810
2026-08-14;"2026-08-15 al 2026-08-17";11,4000;-;-;-;-;-;-;24;123.969;-;-;2;46.015;-;-;-;-;-;-;-;-;-;-;-;-;1;139.143;-;-;27;309.127
2026-08-14;"2026-08-15 al 2026-08-17";11,4200;38;61.756;306;31.099;-;-;-;-;26;81.465;-;-;-;-;1;3.850;3;101.534;-;-;-;-;-;-;-;-;-;-;374;279.703
2026-08-14;"2026-08-15 al 2026-08-17";11,4500;-;-;1;29.950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;29.950
2026-08-14;"2026-08-15 al 2026-08-17";11,4600;1;2.058;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.058
2026-08-14;"2026-08-15 al 2026-08-17";11,4700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;139.707;-;-;-;-;-;-;-;-;1;60.008;-;-;3;199.716
2026-08-14;"2026-08-15 al 2026-08-17";11,4900;2;82.363;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;82.363
2026-08-14;"2026-08-15 al 2026-08-17";11,5000;3;171.303;-;-;1;23.220;-;-;-;-;1;40.000;-;-;1;39.955;-;-;-;-;-;-;-;-;4;51.695;-;-;10;326.173
2026-08-14;"2026-08-15 al 2026-08-17";11,5200;14;92.833;-;-;-;-;-;-;-;-;6;4.844;-;-;-;-;1;264.985;-;-;-;-;-;-;-;-;-;-;21;362.661
