"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-01;2026-07-01
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-01;2026-07-02;9,2700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;26.102;-;-;17;26.102
2026-07-01;2026-07-02;9,3600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;5.846;-;-;3;3.620;-;-;-;-;16;9.466
2026-07-01;2026-07-02;9,5600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;360;406.827;-;-;-;-;-;-;-;-;-;-;-;-;360;406.827
2026-07-01;2026-07-02;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;65.822;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;65.822
2026-07-01;2026-07-02;9,6599;-;-;1;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;43
2026-07-01;2026-07-02;9,6600;33;139.166;31;72.182;26;16.886;29;37.026;15;8.284;-;-;164;124.592;-;-;-;-;-;-;-;-;-;-;-;-;-;-;298;398.137
2026-07-01;2026-07-02;9,6800;1;50.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;50.000
2026-07-01;2026-07-02;9,7000;3;404.965;2;220.502;-;-;-;-;-;-;-;-;356;357.648;-;-;-;-;-;-;-;-;-;-;2;3.345;-;-;363;986.460
2026-07-01;2026-07-02;9,7100;1;2.781;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.781
2026-07-01;2026-07-02;9,7300;1;50.000;-;-;-;-;-;-;-;-;1;29.975;38;1.105.936;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;1.185.911
2026-07-01;2026-07-02;9,7500;10;129.840;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;1.684.458;-;-;-;-;-;-;2;1.854.436;-;-;36;3.668.734
2026-07-01;2026-07-02;9,7550;1;91.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;91.000
2026-07-01;2026-07-02;9,7570;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;1;-;-;-;-;-;-;-;-;-;-;17;1
2026-07-01;2026-07-02;9,7600;3;196.804;1;1.000;-;-;-;-;-;-;3;66.896;23;1.539;-;-;1.949;1.296.200;-;-;3;216;-;-;1;249.835;73;119.022;2.056;1.931.511
2026-07-01;2026-07-02;9,7650;1;70.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;70.000
2026-07-01;2026-07-02;9,7700;1;1.484.555;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.484.555
2026-07-01;2026-07-02;9,7800;4;534.140;-;-;-;-;1;174.440;-;-;-;-;2;446.478;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1.155.058
2026-07-01;2026-07-02;9,7950;1;10.000.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10.000.000
2026-07-01;2026-07-02;9,8000;10;1.823.250;1;699.930;-;-;-;-;-;-;-;-;1;612.982;-;-;18;0;-;-;-;-;-;-;1;499.955;-;-;31;3.636.117
2026-07-01;2026-07-02;9,8050;-;-;-;-;-;-;-;-;-;-;-;-;1;499.980;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;499.980
2026-07-01;2026-07-02;9,8100;-;-;-;-;-;-;-;-;-;-;-;-;1;2.000.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.000.000
2026-07-01;2026-07-02;9,8500;-;-;-;-;-;-;-;-;-;-;-;-;1;700.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;700.000
2026-07-01;2026-07-02;9,8600;-;-;-;-;-;-;-;-;-;-;-;-;4;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;7
2026-07-01;2026-07-02;9,9000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.504.313;1;1.504.313
2026-07-01;2026-07-02;TOTAL;70;14.976.501;36;993.657;26;16.886;30;211.466;15;8.284;4;96.871;592;5.914.983;360;406.827;2.008;2.980.659;13;5.846;3;216;3;3.620;23;2.633.673;74;1.623.334;3.257;29.872.825
2026-07-01;2026-07-02;TCO;9,79;;9,77;;9,66;;9,76;;9,66;;9,75;;9,78;;9,56;;9,75;;9,36;;9,76;;9,36;;9,76;;9,89;;9,78;

