"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-26;2026-08-26
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-26;2026-08-27;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;12.011;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;12.011
2026-08-26;2026-08-27;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;40.056;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;40.056
2026-08-26;2026-08-27;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;5.118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5.118
2026-08-26;2026-08-27;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;53;43.434;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;43.434
2026-08-26;2026-08-27;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;5.826;31;5.826
2026-08-26;2026-08-27;11,0000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2.781;-;-;-;-;-;-;-;-;-;-;2;2.781
2026-08-26;2026-08-27;11,0500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;1;0
2026-08-26;2026-08-27;11,0700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;174;176.782;-;-;-;-;-;-;-;-;-;-;-;-;174;176.782
2026-08-26;2026-08-27;11,0800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1
2026-08-26;2026-08-27;11,1700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;600;1;3;-;-;-;-;3;603
2026-08-26;2026-08-27;11,2700;-;-;-;-;24;2.372;-;-;-;-;-;-;-;-;-;-;-;-;13;6.230;-;-;-;-;-;-;-;-;37;8.601
2026-08-26;2026-08-27;11,3000;8;25.525;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;25.525
2026-08-26;2026-08-27;11,3200;1;2.210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.210
2026-08-26;2026-08-27;11,3400;1;237;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;1.908;-;-;33;2.145
2026-08-26;2026-08-27;11,3700;62;126.276;-;-;-;-;-;-;20;6.493;-;-;-;-;1;2.000;-;-;-;-;-;-;-;-;-;-;-;-;83;134.769
2026-08-26;2026-08-27;11,4000;6;4.182;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;4.182
2026-08-26;2026-08-27;11,4500;5;2.322;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2.322
2026-08-26;2026-08-27;11,4700;4;9.879;13;40.144;-;-;-;-;-;-;1;7;-;-;2;35.115;-;-;-;-;-;-;-;-;-;-;-;-;20;85.145
2026-08-26;2026-08-27;11,5000;13;63.529;1;14.130;-;-;30;14.046;-;-;-;-;5;515;1;26.965;-;-;-;-;-;-;-;-;-;-;-;-;50;119.187
2026-08-26;2026-08-27;11,5200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6.660;-;-;-;-;-;-;-;-;-;-;-;-;1;6.660
2026-08-26;2026-08-27;11,5400;-;-;-;-;-;-;-;-;-;-;-;-;25;9.716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;9.716
2026-08-26;2026-08-27;11,5500;6;8.809;-;-;-;-;-;-;-;-;-;-;1;77.001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;85.810
2026-08-26;2026-08-27;11,5600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;15.060;-;-;2;15.060
2026-08-26;2026-08-27;11,5697;-;-;-;-;-;-;-;-;-;-;-;-;1;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;15
2026-08-26;2026-08-27;11,5700;7;126.496;1;26.656;1;6.000;-;-;-;-;2;17.326;91;950.369;1;69.828;287;237.198;-;-;-;-;-;-;3;146.798;-;-;393;1.580.672
2026-08-26;2026-08-27;11,5800;-;-;-;-;-;-;-;-;-;-;1;52.000;-;-;-;-;-;-;-;-;-;-;-;-;1;4.883;-;-;2;56.883
2026-08-26;2026-08-27;11,6000;1;54.975;353;23.816;-;-;-;-;-;-;-;-;2;187.984;-;-;-;-;-;-;-;-;-;-;1;2.405;-;-;357;269.180
2026-08-26;2026-08-27;11,6100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;23.686;-;-;1;23.686
2026-08-26;2026-08-27;11,6200;-;-;2;22.308;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;22.308
2026-08-26;2026-08-27;11,6400;-;-;2;435.800;-;-;-;-;-;-;1;29.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;464.800
2026-08-26;2026-08-27;11,6500;2;3.101;1;5.360;-;-;2;353.303;-;-;-;-;2;8.296.744;-;-;2;998.488;-;-;-;-;-;-;-;-;-;-;9;9.656.996
2026-08-26;2026-08-27;11,6600;1;100.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;100.000
2026-08-26;2026-08-27;11,6700;1;353.985;-;-;-;-;-;-;-;-;-;-;3;7;8;270.013;-;-;-;-;-;-;-;-;1;499.975;-;-;13;1.123.980
2026-08-26;2026-08-27;11,6800;2;82.560;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;32.992;-;-;3;115.552
2026-08-26;2026-08-27;11,7000;2;2.746.575;2;2.657.985;-;-;-;-;1;500.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5.904.559
2026-08-26;2026-08-27;11,7200;3;6.900.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;6.900.000
2026-08-26;2026-08-27;11,7300;-;-;-;-;-;-;-;-;-;-;-;-;2;934.071;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;934.071
2026-08-26;2026-08-27;11,7400;-;-;1;499.940;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;499.940
2026-08-26;2026-08-27;11,7500;3;266;-;-;-;-;-;-;-;-;-;-;1;220.263;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;220.529
2026-08-26;2026-08-27;11,7600;-;-;-;-;-;-;-;-;-;-;-;-;1;4.999.921;4;8.026.055;-;-;-;-;-;-;-;-;-;-;-;-;5;13.025.976
2026-08-26;2026-08-27;11,7610;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3.699.975;-;-;-;-;-;-;-;-;-;-;1;3.699.975
2026-08-26;2026-08-27;11,7800;2;2.123.135;-;-;-;-;-;-;-;-;-;-;1;500.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2.623.135
2026-08-26;2026-08-27;11,8000;-;-;1;500.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;500.000
2026-08-26;2026-08-27;11,8210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;199.905;-;-;1;199.905
2026-08-26;2026-08-27;11,8350;-;-;-;-;-;-;-;-;1;799.975;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;799.975
2026-08-26;2026-08-27;12,0000;1;1.530;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.530
2026-08-26;2026-08-27;12,8300;1;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;16
2026-08-26;2026-08-27;TOTAL;132;12.735.607;377;4.226.139;25;8.372;32;367.349;22;1.306.468;5;98.333;191;16.277.226;194;8.613.420;292;4.938.442;13;6.230;2;600;1;3;43;927.612;31;5.826;1.360;49.511.626
2026-08-26;2026-08-27;TCO;11,72;;11,71;;11,49;;11,64;;11,78;;11,60;;11,68;;11,74;;11,73;;11,27;;11,17;;11,17;;11,68;;10,50;;11,71;

