"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-06-26;2026-06-26
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-06-26;"2026-06-27 al 2026-06-29";7,0000;-;-;-;-;-;-;-;-;-;-;-;-;5;5.743;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5.743
2026-06-26;"2026-06-27 al 2026-06-29";7,0100;-;-;-;-;-;-;-;-;-;-;-;-;1;197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;197
2026-06-26;"2026-06-27 al 2026-06-29";7,2000;-;-;-;-;-;-;4;10.107;-;-;-;-;-;-;2;2.901;-;-;-;-;-;-;-;-;-;-;-;-;6;13.008
2026-06-26;"2026-06-27 al 2026-06-29";7,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;13.240;-;-;-;-;-;-;-;-;2;5.300;-;-;9;18.540
2026-06-26;"2026-06-27 al 2026-06-29";8,0000;-;-;-;-;-;-;-;-;-;-;-;-;1;5.000;1;2.000;-;-;-;-;-;-;-;-;-;-;-;-;2;7.000
2026-06-26;"2026-06-27 al 2026-06-29";8,2000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;469;-;-;-;-;-;-;-;-;-;-;1;469
2026-06-26;"2026-06-27 al 2026-06-29";8,4000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1.000;-;-;-;-;-;-;-;-;-;-;-;-;3;1.000
2026-06-26;"2026-06-27 al 2026-06-29";8,5000;12;22.524;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;22.524
2026-06-26;"2026-06-27 al 2026-06-29";8,7000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.834;-;-;-;-;-;-;-;-;-;-;-;-;1;4.834
