"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-03;2026-07-03
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-03;"2026-07-04 al 2026-07-06";9,2900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;29.001;-;-;1;29.001
2026-07-03;"2026-07-04 al 2026-07-06";9,3100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;1.974;-;-;16;1.974
2026-07-03;"2026-07-04 al 2026-07-06";9,4000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;3.815;-;-;-;-;5;3.815
2026-07-03;"2026-07-04 al 2026-07-06";9,5800;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
2026-07-03;"2026-07-04 al 2026-07-06";9,5900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;9;-;-;-;-;-;-;-;-;-;-;-;-;2;9
2026-07-03;"2026-07-04 al 2026-07-06";9,6000;-;-;-;-;-;-;-;-;-;-;-;-;191;105.083;136;757.251;-;-;-;-;-;-;-;-;-;-;-;-;327;862.334
2026-07-03;"2026-07-04 al 2026-07-06";9,6200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;2;4
2026-07-03;"2026-07-04 al 2026-07-06";9,6300;-;-;-;-;-;-;-;-;-;-;-;-;2;45.083;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;45.083
2026-07-03;"2026-07-04 al 2026-07-06";9,7000;38;136.637;6;8.585;10;11.336;31;159.927;8;761;-;-;294;323.549;-;-;-;-;7;18.491;-;-;-;-;-;-;-;-;394;659.286
2026-07-03;"2026-07-04 al 2026-07-06";9,7200;3;35.460;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;35.460
2026-07-03;"2026-07-04 al 2026-07-06";9,7300;-;-;-;-;-;-;-;-;-;-;-;-;33;1.391.657;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;1.391.657
2026-07-03;"2026-07-04 al 2026-07-06";9,7500;1;402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;402
2026-07-03;"2026-07-04 al 2026-07-06";9,7600;1;56.455;-;-;-;-;-;-;-;-;-;-;-;-;1;92.572;-;-;-;-;-;-;-;-;-;-;-;-;2;149.027
2026-07-03;"2026-07-04 al 2026-07-06";9,7800;1;386.417;-;-;-;-;-;-;-;-;1;28.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;414.417
2026-07-03;"2026-07-04 al 2026-07-06";9,7900;-;-;-;-;-;-;-;-;-;-;-;-;1;450.000;-;-;3;10.085;-;-;-;-;-;-;-;-;-;-;4;460.085
2026-07-03;"2026-07-04 al 2026-07-06";9,8000;3;95.005;6;223.547;-;-;1;53.397;-;-;1;200.000;39;2.304;3;29.594;1.071;1.855.909;-;-;3;64;-;-;3;74.276;83;318.733;1.213;2.852.828
2026-07-03;"2026-07-04 al 2026-07-06";9,8100;-;-;4;14.676;-;-;-;-;-;-;1;905.622;1;1.374.111;-;-;1;300.000;-;-;-;-;-;-;-;-;-;-;7;2.594.409
2026-07-03;"2026-07-04 al 2026-07-06";9,8200;1;129.115;4;14.640;-;-;-;-;-;-;-;-;-;-;1;1.051.501;-;-;-;-;-;-;-;-;-;-;-;-;6;1.195.256
2026-07-03;"2026-07-04 al 2026-07-06";9,8300;1;177.123;-;-;-;-;-;-;-;-;-;-;-;-;1;187.022;-;-;-;-;-;-;-;-;-;-;-;-;2;364.145
2026-07-03;"2026-07-04 al 2026-07-06";9,8400;-;-;-;-;-;-;1;300.000;-;-;-;-;1;400.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;700.000
2026-07-03;"2026-07-04 al 2026-07-06";9,8500;1;633.862;-;-;-;-;-;-;-;-;-;-;3;4.354.619;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4.988.480
2026-07-03;"2026-07-04 al 2026-07-06";9,8700;-;-;-;-;-;-;2;186.474;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;186.474
2026-07-03;"2026-07-04 al 2026-07-06";9,8800;-;-;-;-;-;-;-;-;-;-;-;-;3;17;-;-;-;-;-;-;-;-;-;-;1;97.200;-;-;4;97.217
2026-07-03;"2026-07-04 al 2026-07-06";9,8850;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;599.962;-;-;1;599.962
