"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-09-01;2026-09-01
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-09-01;2026-09-02;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;8.937;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8.937
2026-09-01;2026-09-02;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;2;52.841;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;52.841
2026-09-01;2026-09-02;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;18.044;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;18.044
2026-09-01;2026-09-02;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;52;9.789;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;9.789
2026-09-01;2026-09-02;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;4.663;13;4.663
2026-09-01;2026-09-02;11,0000;-;-;-;-;-;-;-;-;-;-;1;1;1;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;121
2026-09-01;2026-09-02;11,1200;-;-;-;-;1;940;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;940
2026-09-01;2026-09-02;11,2000;-;-;-;-;-;-;-;-;-;-;1;300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;300
2026-09-01;2026-09-02;11,4000;-;-;-;-;-;-;-;-;-;-;1;20.229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;20.229
2026-09-01;2026-09-02;11,5400;-;-;-;-;-;-;-;-;-;-;-;-;1;347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;347
2026-09-01;2026-09-02;11,5500;7;13.092;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;13.092
2026-09-01;2026-09-02;11,5700;-;-;-;-;-;-;-;-;-;-;-;-;1;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;61
2026-09-01;2026-09-02;11,6000;5;15.786;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;15.786
2026-09-01;2026-09-02;11,6200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;147.577;-;-;-;-;-;-;-;-;-;-;-;-;58;147.577
2026-09-01;2026-09-02;11,6500;4;291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;291
2026-09-01;2026-09-02;11,7000;-;-;-;-;-;-;-;-;-;-;-;-;3;44.487;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;44.487
2026-09-01;2026-09-02;11,7200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1.853;2;10;-;-;-;-;7;1.864
2026-09-01;2026-09-02;11,7500;2;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;43
2026-09-01;2026-09-02;11,8000;-;-;-;-;-;-;-;-;-;-;1;12.600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;12.600
2026-09-01;2026-09-02;11,8200;2;400;-;-;27;4.980;-;-;-;-;-;-;1;8.400;-;-;-;-;21;20.429;-;-;-;-;-;-;-;-;51;34.209
