"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-27;2026-07-27
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-27;2026-07-28;9,6000;-;-;-;-;-;-;-;-;-;-;-;-;1;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;21
2026-07-27;2026-07-28;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;28.105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;28.105
2026-07-27;2026-07-28;9,7000;-;-;-;-;-;-;-;-;-;-;-;-;1;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;84
2026-07-27;2026-07-28;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;142.327;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;142.327
2026-07-27;2026-07-28;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;15.197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;15.197
2026-07-27;2026-07-28;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;151;-;-;-;-;-;-;-;-;-;-;1;151
2026-07-27;2026-07-28;10,6000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10.425;-;-;-;-;-;-;-;-;-;-;1;10.425
2026-07-27;2026-07-28;10,7000;-;-;-;-;-;-;-;-;-;-;-;-;1;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;42
2026-07-27;2026-07-28;10,8000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;12.233;-;-;20;12.233
2026-07-27;2026-07-28;10,9700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;350;-;-;-;-;4;350
2026-07-27;2026-07-28;10,9900;-;-;1;1.295;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.295
2026-07-27;2026-07-28;11,0000;-;-;-;-;-;-;-;-;-;-;-;-;1;109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;109
2026-07-27;2026-07-28;11,1200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3.700;-;-;-;-;-;-;-;-;-;-;1;3.700
2026-07-27;2026-07-28;11,1300;-;-;-;-;-;-;-;-;-;-;-;-;1;229;-;-;-;-;-;-;-;-;-;-;-;-;1;6;2;235
2026-07-27;2026-07-28;11,1500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;149.975;-;-;-;-;-;-;-;-;-;-;3;149.976
2026-07-27;2026-07-28;11,1600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1
2026-07-27;2026-07-28;11,1700;-;-;-;-;-;-;-;-;-;-;-;-;139;44.019;217;170.088;116;59.450;-;-;-;-;-;-;-;-;-;-;472;273.557
2026-07-27;2026-07-28;11,1800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1
2026-07-27;2026-07-28;11,2100;-;-;-;-;-;-;-;-;-;-;-;-;3;2.123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2.123
2026-07-27;2026-07-28;11,2300;-;-;-;-;-;-;-;-;-;-;1;17.798;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;17.798
2026-07-27;2026-07-28;11,2700;22;211.313;9;28.097;33;4.894;35;35.282;18;9.465;2;3.008;-;-;-;-;-;-;23;22.014;-;-;-;-;-;-;-;-;142;314.073
2026-07-27;2026-07-28;11,3000;1;1.266;-;-;-;-;1;53.231;-;-;2;586.120;-;-;-;-;-;-;-;-;-;-;-;-;2;137.009;-;-;6;777.626
2026-07-27;2026-07-28;11,3200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;268.721;-;-;-;-;-;-;-;-;-;-;-;-;1;268.721
2026-07-27;2026-07-28;11,3500;5;2.649;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;94.731;-;-;8;97.380
2026-07-27;2026-07-28;11,3600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;133;24.307;-;-;-;-;-;-;-;-;-;-;133;24.307
2026-07-27;2026-07-28;11,3699;-;-;-;-;-;-;-;-;-;-;-;-;1;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;35
2026-07-27;2026-07-28;11,3700;3;26.971;4;41.485;3;7.725;-;-;-;-;9;30.137;58;1.161.694;10;758.111;-;-;-;-;5;5.293;-;-;2;135.404;58;53.375;152;2.220.195
2026-07-27;2026-07-28;11,4000;3;142.672;1;93.356;-;-;1;2.000.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;46.460;-;-;7;2.282.488
2026-07-27;2026-07-28;11,4200;5;170.333;-;-;-;-;-;-;-;-;-;-;1;1.299.921;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1.470.253
2026-07-27;2026-07-28;11,4300;-;-;1;5.125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5.125
2026-07-27;2026-07-28;11,4500;1;10.150;1;59.945;-;-;-;-;-;-;-;-;-;-;-;-;1;75.000;-;-;-;-;-;-;-;-;-;-;3;145.095
2026-07-27;2026-07-28;11,4700;-;-;44;25.519;-;-;-;-;-;-;-;-;1;1;1;34.000;-;-;-;-;-;-;-;-;2;78.165;-;-;48;137.685
2026-07-27;2026-07-28;11,5000;6;954.422;1;700.000;-;-;-;-;-;-;-;-;1;250.000;-;-;1;184.378;-;-;-;-;-;-;3;227.507;-;-;12;2.316.307
2026-07-27;2026-07-28;11,5200;-;-;-;-;-;-;1;499.980;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;499.980
2026-07-27;2026-07-28;11,5500;1;200.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;200.000
2026-07-27;2026-07-28;11,5700;-;-;-;-;-;-;-;-;1;36.975;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;36.975
2026-07-27;2026-07-28;11,5800;1;284.076;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;284.076
2026-07-27;2026-07-28;11,6000;3;899.331;2;31.066;-;-;1;500.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1.430.398
