"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-19;2026-08-19
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-19;2026-08-20;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;9.216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9.216
2026-08-19;2026-08-20;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;36.214;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;36.214
2026-08-19;2026-08-20;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;2;6.861;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6.861
2026-08-19;2026-08-20;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;47;4.254;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;4.254
2026-08-19;2026-08-20;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;446;18;446
2026-08-19;2026-08-20;10,7000;-;-;-;-;-;-;-;-;-;-;-;-;2;655;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;655
2026-08-19;2026-08-20;10,9400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;6.728;-;-;31;6.728
2026-08-19;2026-08-20;11,0000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;0;-;-;-;-;-;-;-;-;-;-;-;-;3;0
2026-08-19;2026-08-20;11,0100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;2;4
2026-08-19;2026-08-20;11,0200;-;-;-;-;10;1.711;-;-;-;-;-;-;-;-;151;141.564;1;131;-;-;-;-;-;-;-;-;-;-;162;143.406
2026-08-19;2026-08-20;11,0300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;1;0
2026-08-19;2026-08-20;11,1200;-;-;18;52.095;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;10.000;2;180;-;-;-;-;23;62.275
2026-08-19;2026-08-20;11,1500;-;-;1;18.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;18.000
2026-08-19;2026-08-20;11,2200;1;3.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;4.698;-;-;-;-;-;-;-;-;16;7.698
2026-08-19;2026-08-20;11,3200;44;84.279;-;-;-;-;26;19.716;27;7.267;-;-;1;16.884;3;139.431;199;261.107;-;-;-;-;-;-;-;-;-;-;300;528.685
2026-08-19;2026-08-20;11,3330;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;1;0
2026-08-19;2026-08-20;11,3500;1;161;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;161
2026-08-19;2026-08-20;11,4000;6;6.408;-;-;2;15.425;-;-;-;-;1;29.000;-;-;-;-;-;-;-;-;-;-;-;-;3;65.163;-;-;12;115.996
2026-08-19;2026-08-20;11,4200;6;22.659;-;-;-;-;-;-;-;-;6;9.290;-;-;2;58.135;-;-;-;-;-;-;-;-;1;49.960;-;-;15;140.043
2026-08-19;2026-08-20;11,4500;11;81.379;2;152.917;-;-;-;-;-;-;-;-;-;-;-;-;1;20.000;-;-;-;-;-;-;-;-;-;-;14;254.297
2026-08-19;2026-08-20;11,4600;2;59.950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;59.950
2026-08-19;2026-08-20;11,4700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;79.923;1;79.923
2026-08-19;2026-08-20;11,4800;3;56.077;3;709.810;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;765.887
2026-08-19;2026-08-20;11,4850;1;525.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;525.000
2026-08-19;2026-08-20;11,4900;6;291.286;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;109.853;-;-;7;401.139
2026-08-19;2026-08-20;11,5000;9;728.708;3;315.965;-;-;2;350.000;-;-;-;-;23;51.137;1;199.940;-;-;-;-;-;-;-;-;4;161.108;-;-;42;1.806.858
2026-08-19;2026-08-20;11,5100;5;3.720.635;-;-;-;-;-;-;-;-;-;-;-;-;2;6.991.749;24;777;-;-;-;-;-;-;-;-;-;-;31;10.713.161
2026-08-19;2026-08-20;11,5150;2;6.172.808;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6.172.808
2026-08-19;2026-08-20;11,5200;2;1.014.133;301;21.885;-;-;-;-;1;209.905;-;-;45;835.348;1;820;1;1.430;-;-;-;-;-;-;1;5.378;-;-;352;2.088.899
2026-08-19;2026-08-20;11,5300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;100.000;-;-;-;-;-;-;-;-;-;-;-;-;1;100.000
2026-08-19;2026-08-20;11,5500;6;22.186;-;-;-;-;2;620.584;-;-;1;699.975;2;381.907;-;-;-;-;-;-;-;-;-;-;1;499.980;-;-;12;2.224.632
2026-08-19;2026-08-20;11,5550;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2.000.000;-;-;-;-;-;-;-;-;-;-;-;-;2;2.000.000
2026-08-19;2026-08-20;11,5600;-;-;-;-;-;-;-;-;-;-;-;-;3;1.152.688;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1.152.688
2026-08-19;2026-08-20;11,5700;-;-;-;-;-;-;-;-;-;-;-;-;2;1.675.297;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1.675.297
2026-08-19;2026-08-20;11,5800;-;-;-;-;-;-;-;-;-;-;-;-;5;1.513;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1.513
2026-08-19;2026-08-20;11,6000;-;-;1;849.705;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;849.705
2026-08-19;2026-08-20;11,6050;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.280.126;-;-;-;-;-;-;-;-;-;-;-;-;1;2.280.126
2026-08-19;2026-08-20;11,6200;-;-;1;4;-;-;-;-;-;-;-;-;-;-;2;8.100;-;-;-;-;-;-;-;-;-;-;-;-;3;8.104
2026-08-19;2026-08-20;11,6400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;16.065;-;-;-;-;-;-;-;-;-;-;5;16.065
2026-08-19;2026-08-20;11,6500;5;2.537;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2.537
2026-08-19;2026-08-20;11,6600;-;-;-;-;-;-;-;-;-;-;-;-;1;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;34
2026-08-19;2026-08-20;11,6800;-;-;1;5.500;-;-;-;-;-;-;-;-;-;-;-;-;3;10.337;-;-;-;-;-;-;-;-;-;-;4;15.837
2026-08-19;2026-08-20;11,7100;-;-;-;-;-;-;-;-;-;-;-;-;3;160;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;160
2026-08-19;2026-08-20;11,7500;8;13.114;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;13.114
2026-08-19;2026-08-20;11,7900;-;-;1;5.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5.000
2026-08-19;2026-08-20;11,8600;-;-;-;-;-;-;-;-;-;-;-;-;1;76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;76
2026-08-19;2026-08-20;11,9000;2;279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;279
2026-08-19;2026-08-20;12,0000;4;3.758;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3.758
2026-08-19;2026-08-20;TOTAL;124;12.808.358;332;2.130.880;12;17.136;30;990.300;28;217.172;8;738.265;139;4.172.245;172;11.919.870;235;309.847;15;4.698;3;10.000;2;180;42;898.169;19;80.369;1.161;34.297.489
2026-08-19;2026-08-20;TCO;11,51;;11,52;;11,36;;11,53;;11,51;;11,54;;11,53;;11,53;;11,36;;11,22;;11,12;;11,12;;11,51;;11,46;;11,52;

