"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-09-08;2026-09-08
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-09-08;2026-09-09;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;5.890;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5.890
2026-09-08;2026-09-09;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;2;61.720;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;61.720
2026-09-08;2026-09-09;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;7.046;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7.046
2026-09-08;2026-09-09;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;50;9.997;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;9.997
2026-09-08;2026-09-09;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;1;5
2026-09-08;2026-09-09;11,0000;-;-;-;-;-;-;-;-;-;-;1;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;50
2026-09-08;2026-09-09;11,2000;-;-;-;-;-;-;-;-;-;-;-;-;1;2.170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.170
2026-09-08;2026-09-09;11,3000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;2.609;34;2.609
2026-09-08;2026-09-09;11,5000;-;-;-;-;-;-;-;-;-;-;2;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;16
2026-09-08;2026-09-09;11,6000;1;173;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;173
2026-09-08;2026-09-09;11,7500;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;11
2026-09-08;2026-09-09;11,9200;-;-;-;-;-;-;-;-;-;-;-;-;3;198;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;198
2026-09-08;2026-09-09;11,9500;2;1.314;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1.314
2026-09-08;2026-09-09;12,0000;-;-;-;-;-;-;-;-;-;-;1;10.938;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10.938
2026-09-08;2026-09-09;12,0200;-;-;-;-;-;-;-;-;-;-;-;-;1;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;80
2026-09-08;2026-09-09;12,0500;-;-;-;-;-;-;-;-;-;-;-;-;1;12.200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;12.200
2026-09-08;2026-09-09;12,1000;4;5.469;-;-;-;-;-;-;-;-;-;-;-;-;204;536.871;207;255.244;-;-;-;-;-;-;-;-;-;-;415;797.584
2026-09-08;2026-09-09;12,2000;-;-;-;-;-;-;47;68.900;-;-;-;-;-;-;-;-;-;-;-;-;5;3.482;-;-;-;-;-;-;52;72.382
2026-09-08;2026-09-09;12,2600;-;-;-;-;-;-;-;-;-;-;-;-;3;384;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;384
2026-09-08;2026-09-09;12,3000;-;-;21;111.186;11;1.901;-;-;-;-;-;-;-;-;1;70.000;-;-;29;20.980;-;-;-;-;-;-;-;-;62;204.067
2026-09-08;2026-09-09;12,3200;-;-;-;-;-;-;-;-;-;-;-;-;3;225;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;225
2026-09-08;2026-09-09;12,3500;4;5.674;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;113.688;-;-;32;119.363
2026-09-08;2026-09-09;12,3800;1;1.950;1;9.877;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;11.827
2026-09-08;2026-09-09;12,4000;36;123.299;3;41.532;-;-;-;-;-;-;-;-;-;-;-;-;1;2.508;-;-;-;-;-;-;1;63.271;-;-;41;230.610
2026-09-08;2026-09-09;12,4500;2;107.301;-;-;2;55.000;-;-;-;-;1;300.000;12;3.890;1;2.000.000;3;40.230;-;-;-;-;-;-;-;-;-;-;21;2.506.421
2026-09-08;2026-09-09;12,5000;15;1.409.832;3;13.271;-;-;-;-;-;-;6;33.800;2;24.414;-;-;2;251.931;-;-;-;-;-;-;-;-;-;-;28;1.733.247
2026-09-08;2026-09-09;12,5200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7.900;-;-;-;-;-;-;-;-;-;-;-;-;1;7.900
2026-09-08;2026-09-09;12,5500;2;1.170.710;-;-;-;-;2;92.739;-;-;-;-;1;500.000;-;-;1;400.000;-;-;-;-;-;-;-;-;-;-;6;2.163.449
2026-09-08;2026-09-09;12,5600;-;-;-;-;-;-;-;-;-;-;-;-;1;500.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;500.000
2026-09-08;2026-09-09;12,5800;2;25.511;1;30.900;-;-;1;206.338;-;-;-;-;45;184.456;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;447.205
2026-09-08;2026-09-09;12,5900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;7.462;-;-;-;-;-;-;-;-;-;-;29;7.462
2026-09-08;2026-09-09;12,6000;9;3.022.561;574;236.722;-;-;2;304.732;25;119.558;6;218.271;87;1.981.132;3;471.484;152;792.114;-;-;-;-;-;-;10;516.577;-;-;868;7.663.149
2026-09-08;2026-09-09;12,6001;-;-;-;-;-;-;-;-;-;-;-;-;1;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;69
2026-09-08;2026-09-09;12,6100;-;-;-;-;-;-;-;-;2;469.905;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;469.905
2026-09-08;2026-09-09;12,6200;1;33.000;1;10.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;43.000
2026-09-08;2026-09-09;12,6500;3;137.810;2;1.093.940;-;-;-;-;-;-;-;-;1;38.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1.269.750
2026-09-08;2026-09-09;12,6600;-;-;1;738.733;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;738.733
2026-09-08;2026-09-09;12,6800;4;1.327.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;100.000;5;1.427.000
2026-09-08;2026-09-09;12,6900;-;-;1;99.920;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;99.920
2026-09-08;2026-09-09;12,7000;2;2.356.900;3;285.833;-;-;-;-;-;-;-;-;5;918.936;1;50.000;-;-;-;-;-;-;-;-;-;-;1;2.500.000;12;6.111.669
2026-09-08;2026-09-09;12,7100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;330.425;-;-;-;-;-;-;-;-;-;-;-;-;1;330.425
2026-09-08;2026-09-09;12,7180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.558.760;-;-;1;1.558.760
2026-09-08;2026-09-09;12,7200;1;120.000;-;-;-;-;-;-;-;-;-;-;1;88.787;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;208.787
2026-09-08;2026-09-09;12,7500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1.041.080;-;-;5;1.041.080
2026-09-08;2026-09-09;12,7600;1;1.021.905;-;-;-;-;-;-;-;-;-;-;1;354.274;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1.376.179
2026-09-08;2026-09-09;12,7700;-;-;-;-;-;-;-;-;-;-;-;-;1;2.004.945;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.004.945
2026-09-08;2026-09-09;12,7800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.019.551;1;1.019.551
2026-09-08;2026-09-09;12,7900;-;-;-;-;-;-;-;-;-;-;-;-;1;4.999.921;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.999.921
2026-09-08;2026-09-09;12,8000;-;-;3;8.815;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;8.815
2026-09-08;2026-09-09;12,8200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;999.890;2;999.890
2026-09-08;2026-09-09;TOTAL;91;10.870.421;614;2.680.727;13;56.901;52;672.709;27;589.463;17;563.075;225;11.698.735;212;3.466.680;395;1.749.489;29;20.980;5;3.482;-;-;45;3.293.377;40;4.622.055;1.765;40.288.093
2026-09-08;2026-09-09;TCO;12,63;;12,63;;12,44;;12,55;;12,61;;12,50;;12,70;;12,44;;12,50;;12,30;;12,20;;-;;12,69;;12,74;;12,64;

