"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-09-11;2026-09-11
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-09-11;2026-09-14;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;3.156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3.156
2026-09-11;2026-09-14;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;58.910;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;58.910
2026-09-11;2026-09-14;9,8000;-;-;-;-;-;-;-;-;-;-;-;-;77;19.459;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77;19.459
2026-09-11;2026-09-14;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;6.322;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6.322
2026-09-11;2026-09-14;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;1;1.640;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.640
2026-09-11;2026-09-14;10,2300;-;-;-;-;-;-;-;-;-;-;-;-;1;2.460;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.460
2026-09-11;2026-09-14;10,6400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;238;354.113;-;-;-;-;-;-;-;-;-;-;238;354.113
2026-09-11;2026-09-14;10,9000;2;192.282;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;192.282
2026-09-11;2026-09-14;11,0000;12;2.377.519;-;-;-;-;38;708.887;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;3.086.405
2026-09-11;2026-09-14;11,0400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.934;214.424;-;-;-;-;-;-;-;-;-;-;-;-;3.934;214.424
2026-09-11;2026-09-14;11,0500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;235.385;-;-;6;235.385
2026-09-11;2026-09-14;11,1000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;28.405;-;-;1;28.405
2026-09-11;2026-09-14;11,1300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;14.880;-;-;1;14.880
2026-09-11;2026-09-14;11,1400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;222.379;-;-;28;222.379
2026-09-11;2026-09-14;11,2000;1;459.194;1;14.970;-;-;1;1.500.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1.974.164
2026-09-11;2026-09-14;11,2500;-;-;-;-;-;-;-;-;-;-;-;-;2;800.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;800.000
2026-09-11;2026-09-14;11,3000;1;673.000;-;-;-;-;-;-;-;-;-;-;1;74.000;-;-;-;-;-;-;-;-;-;-;-;-;30;3.636;32;750.636
2026-09-11;2026-09-14;11,4000;-;-;2;66.422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;66.422
2026-09-11;2026-09-14;11,4400;-;-;34;238.889;12;8.048;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;246.937
2026-09-11;2026-09-14;11,5000;2;61.985;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.975;-;-;3;66.960
2026-09-11;2026-09-14;11,5400;-;-;-;-;-;-;-;-;17;42.016;-;-;-;-;1;12.106;-;-;-;-;-;-;-;-;-;-;-;-;18;54.122
2026-09-11;2026-09-14;11,6000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.367.278;-;-;-;-;-;-;-;-;-;-;1;1.367.278
2026-09-11;2026-09-14;11,6400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2.425;-;-;-;-;-;-;4;2.425
2026-09-11;2026-09-14;11,6900;1;2.629.990;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.629.990
