"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-06-30;2026-06-30
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-06-30;2026-07-01;8,3000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;961;-;-;-;-;-;-;-;-;-;-;1;961
2026-06-30;2026-07-01;9,0000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;126.000;-;-;-;-;-;-;-;-;-;-;1;126.000
2026-06-30;2026-07-01;9,2700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;3.584;-;-;24;3.584
2026-06-30;2026-07-01;9,5500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1
2026-06-30;2026-07-01;9,5600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;168;257.401;-;-;9;3.759;-;-;-;-;-;-;-;-;177;261.160
2026-06-30;2026-07-01;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;6;62.823;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;62.823
2026-06-30;2026-07-01;9,6600;43;87.397;17;37.197;26;6.332;31;9.356;12;11.564;-;-;163;161.961;-;-;-;-;-;-;-;-;-;-;-;-;-;-;292;313.806
2026-06-30;2026-07-01;9,7000;1;100.000;-;-;-;-;-;-;-;-;-;-;278;304.112;-;-;-;-;-;-;-;-;-;-;2;24.275;-;-;281;428.387
2026-06-30;2026-07-01;9,7100;-;-;-;-;-;-;-;-;-;-;1;167.387;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;167.387
2026-06-30;2026-07-01;9,7200;-;-;-;-;-;-;1;105.560;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;144.498;-;-;4;250.058
2026-06-30;2026-07-01;9,7300;1;200.000;-;-;-;-;-;-;-;-;1;2.445;114;1.250.413;-;-;-;-;-;-;-;-;-;-;1;112.990;-;-;117;1.565.848
2026-06-30;2026-07-01;9,7301;-;-;-;-;-;-;-;-;-;-;-;-;1;600.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;600.000
2026-06-30;2026-07-01;9,7500;9;129.806;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;22.763;-;-;10;152.569
2026-06-30;2026-07-01;9,7600;-;-;1;10.000;-;-;-;-;-;-;1;1;68;14.269;-;-;184;256.505;-;-;3;244;6;602;-;-;100;96.187;363;377.808
2026-06-30;2026-07-01;9,7610;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1
2026-06-30;2026-07-01;9,7800;-;-;2;1.977.718;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1.977.718
2026-06-30;2026-07-01;9,7850;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;109.456;-;-;-;-;-;-;-;-;-;-;1;109.456
2026-06-30;2026-07-01;9,8000;4;2.342;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;1;1.599.905;-;-;6;1.602.247
2026-06-30;2026-07-01;9,8100;-;-;-;-;-;-;-;-;-;-;-;-;1;399.975;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;399.975
2026-06-30;2026-07-01;9,8200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;900.000;-;-;-;-;-;-;-;-;-;-;-;-;1;900.000
2026-06-30;2026-07-01;9,8300;1;1.001.797;-;-;-;-;-;-;-;-;-;-;5;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1.001.806
2026-06-30;2026-07-01;9,8400;-;-;-;-;-;-;2;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;26
2026-06-30;2026-07-01;9,8600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;83.334;-;-;-;-;-;-;-;-;-;-;-;-;3;83.334
2026-06-30;2026-07-01;10,2100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;9.354;-;-;-;-;-;-;-;-;-;-;-;-;3;9.354
2026-06-30;2026-07-01;11,7600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;850;-;-;-;-;-;-;-;-;-;-;-;-;1;850
2026-06-30;2026-07-01;TOTAL;59;1.521.341;20;2.024.916;26;6.332;34;114.942;12;11.564;3;169.833;636;2.793.562;177;1.250.939;189;492.923;9;3.759;3;244;6;602;32;1.908.014;100;96.187;1.306;10.395.157
2026-06-30;2026-07-01;TCO;9,79;;9,78;;9,66;;9,72;;9,66;;9,71;;9,73;;9,77;;9,57;;9,56;;9,76;;9,76;;9,79;;9,76;;9,76;

