"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-03;2026-08-03
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-03;2026-08-04;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;9;21.817;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;21.817
2026-08-03;2026-08-04;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;15;226.533;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;226.533
2026-08-03;2026-08-04;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;26.250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;26.250
2026-08-03;2026-08-04;11,3000;-;-;1;1.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.000
2026-08-03;2026-08-04;11,3700;-;-;-;-;-;-;-;-;-;-;-;-;1;132;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;132
2026-08-03;2026-08-04;11,5200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;4.239;-;-;26;4.239
2026-08-03;2026-08-04;11,5400;-;-;-;-;-;-;-;-;-;-;-;-;1;130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;130
2026-08-03;2026-08-04;11,6000;-;-;-;-;-;-;57;92.144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;92.144
2026-08-03;2026-08-04;11,6800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.900;-;-;-;-;-;-;-;-;-;-;1;2.900
2026-08-03;2026-08-04;11,7300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;302;861.114;-;-;-;-;11;26.160;-;-;-;-;313;887.274
2026-08-03;2026-08-04;11,8000;-;-;-;-;-;-;-;-;-;-;-;-;1;239;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;239
2026-08-03;2026-08-04;11,8900;-;-;-;-;-;-;-;-;-;-;-;-;1;84;-;-;-;-;-;-;-;-;-;-;-;-;2;16;3;100
2026-08-03;2026-08-04;11,9000;6;889.506;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;889.506
2026-08-03;2026-08-04;11,9008;1;499.965;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;499.965
2026-08-03;2026-08-04;11,9300;13;45.195;19;164.702;-;-;-;-;-;-;-;-;-;-;360;897.444;-;-;-;-;-;-;-;-;-;-;-;-;392;1.107.341
2026-08-03;2026-08-04;11,9400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;1;0
2026-08-03;2026-08-04;11,9500;3;58.737;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;13.000;-;-;-;-;-;-;-;-;-;-;4;71.737
2026-08-03;2026-08-04;12,0000;8;803.591;6;200.630;-;-;3;1.160.000;-;-;1;21.228;-;-;2;579.880;1;80.000;-;-;-;-;-;-;1;231.000;-;-;22;3.076.329
2026-08-03;2026-08-04;12,0300;32;419.377;113;29.757;28;10.325;-;-;40;55.907;1;500;-;-;-;-;1;46.813;36;43.765;-;-;-;-;-;-;-;-;251;606.444
2026-08-03;2026-08-04;12,0500;1;99.988;-;-;-;-;-;-;-;-;-;-;-;-;1;500.000;-;-;-;-;-;-;-;-;1;10.000;-;-;3;609.988
2026-08-03;2026-08-04;12,1200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;152;254.583;-;-;-;-;-;-;-;-;-;-;152;254.583
2026-08-03;2026-08-04;12,1300;2;25.141;3;1.580.906;3;93.340;-;-;-;-;2;102.030;78;1.781.917;5;429.141;5;28.483;-;-;6;6.283;-;-;2;25.438;310;5.233.114;416;9.305.792
2026-08-03;2026-08-04;12,1500;-;-;-;-;-;-;-;-;-;-;-;-;6;10.654;1;499.915;-;-;-;-;-;-;-;-;2;699.880;-;-;9;1.210.449
2026-08-03;2026-08-04;12,2000;-;-;-;-;-;-;-;-;-;-;-;-;1;2.500.000;-;-;3;326.723;-;-;-;-;-;-;2;599.725;-;-;6;3.426.448
2026-08-03;2026-08-04;12,2300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;465.785;-;-;-;-;-;-;-;-;1;7.035;-;-;9;472.820
2026-08-03;2026-08-04;12,2400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.144.000;-;-;-;-;-;-;-;-;-;-;1;1.144.000
2026-08-03;2026-08-04;12,2500;-;-;-;-;-;-;-;-;-;-;-;-;2;1.295.724;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1.295.724
2026-08-03;2026-08-04;12,3000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;200.000;1;200.000
2026-08-03;2026-08-04;12,3120;-;-;-;-;-;-;-;-;-;-;1;999.920;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;999.920
2026-08-03;2026-08-04;12,3500;-;-;-;-;-;-;-;-;-;-;1;240.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;240.000
2026-08-03;2026-08-04;12,3600;-;-;-;-;-;-;-;-;-;-;1;141.099;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;141.099
2026-08-03;2026-08-04;TOTAL;66;2.841.500;142;1.976.995;31;103.665;60;1.252.144;40;55.907;7;1.504.777;116;5.863.479;378;3.372.165;467;2.757.615;36;43.765;6;6.283;11;26.160;35;1.577.317;313;5.433.130;1.708;26.814.902
2026-08-03;2026-08-04;TCO;11,96;;12,10;;12,12;;11,97;;12,03;;12,31;;12,07;;12,06;;12,05;;12,03;;12,13;;11,73;;12,14;;12,14;;12,08;

