"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-22;2026-07-22
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-22;2026-07-23;9,6000;-;-;-;-;-;-;-;-;-;-;-;-;1;910;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;910
2026-07-22;2026-07-23;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;13.194;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;13.194
2026-07-22;2026-07-23;9,7000;-;-;-;-;-;-;-;-;-;-;-;-;1;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;57
2026-07-22;2026-07-23;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;127.266;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;127.266
2026-07-22;2026-07-23;9,9200;-;-;1;8.002;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8.002
2026-07-22;2026-07-23;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;10.117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10.117
2026-07-22;2026-07-23;10,4500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;2.025;-;-;27;2.025
2026-07-22;2026-07-23;10,5000;-;-;-;-;-;-;-;-;-;-;1;106;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;106
2026-07-22;2026-07-23;10,6000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1.520;-;-;-;-;5;1.520
2026-07-22;2026-07-23;10,7000;-;-;-;-;-;-;-;-;-;-;-;-;4;532;-;-;1;1.120;-;-;-;-;-;-;-;-;-;-;5;1.652
2026-07-22;2026-07-23;10,7500;12;150.757;1;7.000;-;-;-;-;-;-;-;-;-;-;-;-;1;1.600;-;-;-;-;-;-;-;-;-;-;14;159.357
2026-07-22;2026-07-23;10,8000;6;5.537;-;-;-;-;-;-;-;-;-;-;134;220.869;294;234.448;131;467.180;-;-;-;-;-;-;-;-;-;-;565;928.034
2026-07-22;2026-07-23;10,8100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1
2026-07-22;2026-07-23;10,8500;6;6.644;-;-;-;-;-;-;-;-;-;-;12;4.263;1;19.068;-;-;-;-;-;-;-;-;1;11.645;1;4;21;41.625
2026-07-22;2026-07-23;10,9000;33;193.952;15;45.210;18;4.206;31;45.121;21;4.591;1;30.200;21;6.538;1;2.000;-;-;8;12.127;-;-;-;-;-;-;-;-;149;343.946
2026-07-22;2026-07-23;10,9200;2;34.770;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;34.770
2026-07-22;2026-07-23;10,9300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9.035;-;-;1;9.035
2026-07-22;2026-07-23;10,9400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;32.000;-;-;-;-;-;-;-;-;-;-;-;-;1;32.000
