"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-08-24;2026-08-24
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-08-24;2026-08-25;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;23.640;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;23.640
2026-08-24;2026-08-25;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;1;49.657;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;49.657
2026-08-24;2026-08-25;9,9600;-;-;-;-;-;-;-;-;-;-;-;-;1;5.201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5.201
2026-08-24;2026-08-25;10,0000;-;-;-;-;-;-;-;-;-;-;-;-;77;22.264;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77;22.264
2026-08-24;2026-08-25;10,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;6.970;33;6.970
2026-08-24;2026-08-25;11,0000;-;-;-;-;26;4.717;-;-;-;-;2;3.002;-;-;227;552.777;-;-;-;-;-;-;-;-;-;-;-;-;255;560.497
2026-08-24;2026-08-25;11,0100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;127;-;-;-;-;-;-;-;-;-;-;1;127
2026-08-24;2026-08-25;11,0200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.726;-;-;-;-;-;-;-;-;-;-;-;-;1;4.726
2026-08-24;2026-08-25;11,1000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;700;-;-;-;-;-;-;1;700
2026-08-24;2026-08-25;11,2000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1.339;-;-;-;-;-;-;-;-;10;1.339
2026-08-24;2026-08-25;11,2700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;7.816;-;-;31;7.816
2026-08-24;2026-08-25;11,3000;49;52.313;13;101.369;-;-;-;-;18;13.440;1;4.600;-;-;-;-;239;197.960;-;-;-;-;-;-;-;-;-;-;320;369.682
2026-08-24;2026-08-25;11,3200;1;7.500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7.500
2026-08-24;2026-08-25;11,4000;8;7.311;-;-;-;-;-;-;-;-;3;915;-;-;1;15.750;3;69.609;-;-;-;-;-;-;-;-;-;-;15;93.585
2026-08-24;2026-08-25;11,4800;2;10.896;-;-;-;-;-;-;-;-;-;-;31;103.951;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;114.846
2026-08-24;2026-08-25;11,4900;1;34.950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;680;-;-;-;-;-;-;-;-;-;-;21;35.630
2026-08-24;2026-08-25;11,5000;14;972.921;330;128.219;-;-;44;56.658;-;-;4;1.619;33;1.049.147;-;-;-;-;-;-;-;-;-;-;-;-;-;-;425;2.208.563
2026-08-24;2026-08-25;11,5100;-;-;1;116.188;-;-;-;-;-;-;-;-;-;-;1;52.040;-;-;-;-;-;-;-;-;-;-;-;-;2;168.228
2026-08-24;2026-08-25;11,5200;2;243.328;-;-;-;-;-;-;-;-;-;-;10;1.445;-;-;-;-;-;-;-;-;-;-;2;29.243;-;-;14;274.017
2026-08-24;2026-08-25;11,5300;1;300.000;-;-;-;-;-;-;-;-;-;-;-;-;1;310.570;-;-;-;-;-;-;-;-;-;-;-;-;2;610.570
2026-08-24;2026-08-25;11,5400;-;-;-;-;-;-;-;-;-;-;-;-;1;3.313.327;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3.313.327
2026-08-24;2026-08-25;11,5500;1;200.000;1;64.298;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;264.298
2026-08-24;2026-08-25;11,5700;-;-;-;-;-;-;-;-;1;80.000;-;-;1;500.754;-;-;-;-;-;-;-;-;-;-;1;1.000.000;-;-;3;1.580.754
2026-08-24;2026-08-25;11,5720;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;199.880;-;-;1;199.880
2026-08-24;2026-08-25;11,5780;1;200.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;200.000
2026-08-24;2026-08-25;11,5800;-;-;-;-;-;-;2;421.232;-;-;-;-;1;164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;421.396
2026-08-24;2026-08-25;11,5830;-;-;-;-;-;-;-;-;-;-;-;-;1;3.000.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3.000.000
2026-08-24;2026-08-25;11,5900;-;-;-;-;-;-;1;2.000.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2.000.000
2026-08-24;2026-08-25;11,6000;1;1.548.131;2;504.400;-;-;-;-;-;-;1;500.000;5;10;1;200.000;-;-;-;-;-;-;-;-;1;500.000;-;-;11;3.252.540
2026-08-24;2026-08-25;11,6100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.500.000;-;-;-;-;-;-;-;-;-;-;1;1.500.000
2026-08-24;2026-08-25;11,6200;-;-;-;-;-;-;-;-;-;-;-;-;1;199.975;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;199.975
2026-08-24;2026-08-25;TOTAL;81;3.577.349;347;914.474;26;4.717;47;2.477.890;19;93.440;11;510.136;164;8.269.534;232;1.135.863;264;1.768.375;10;1.339;1;700;-;-;36;1.736.939;33;6.970;1.271;20.497.727
2026-08-24;2026-08-25;TCO;11,55;;11,54;;11,00;;11,59;;11,53;;11,59;;11,53;;11,28;;11,57;;11,20;;11,10;;-;;11,58;;10,50;;11,54;

