"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-07-09;2026-07-09
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-07-09;2026-07-10;7,5000;-;-;-;-;-;-;-;-;-;-;2;1.814;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1.814
2026-07-09;2026-07-10;9,6000;-;-;-;-;-;-;-;-;-;-;-;-;1;3.003;-;-;-;-;-;-;-;-;-;-;24;9.897;-;-;25;12.900
2026-07-09;2026-07-10;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;15.301;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;15.301
2026-07-09;2026-07-10;9,7000;-;-;-;-;-;-;-;-;-;-;-;-;1;10.209;-;-;-;-;-;-;-;-;1;10;-;-;-;-;2;10.219
2026-07-09;2026-07-10;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;4;270.172;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;270.172
2026-07-09;2026-07-10;9,7600;-;-;-;-;-;-;-;-;-;-;-;-;4;168;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;168
2026-07-09;2026-07-10;9,8400;-;-;-;-;-;-;-;-;-;-;-;-;41;823.895;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;823.895
2026-07-09;2026-07-10;9,8600;-;-;1;166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;166
2026-07-09;2026-07-10;9,9000;5;14.540;-;-;-;-;-;-;-;-;-;-;132;70.774;103;64.353;-;-;-;-;-;-;-;-;-;-;-;-;240;149.666
