"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-09-17;2026-09-17
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";Vigencia;"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CREDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONOMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-09-17;2026-09-18;8,1000;-;-;-;-;-;-;-;-;-;-;-;-;1;4.876;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.876
2026-09-17;2026-09-18;8,2000;-;-;-;-;-;-;-;-;-;-;-;-;1;23.616;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;23.616
2026-09-17;2026-09-18;8,3300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116;134.731;-;-;-;-;-;-;-;-;-;-;-;-;116;134.731
2026-09-17;2026-09-18;8,3600;-;-;-;-;-;-;-;-;-;-;-;-;1;5.229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5.229
2026-09-17;2026-09-18;8,6500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8.735;-;-;-;-;-;-;-;-;-;-;-;-;1;8.735
2026-09-17;2026-09-18;8,8300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;5.945;30;5.945
2026-09-17;2026-09-18;8,8500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;5.891;-;-;33;5.891
2026-09-17;2026-09-18;9,0000;-;-;-;-;-;-;26;58.113;-;-;2;66;46;8.594;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;66.773
2026-09-17;2026-09-18;9,0300;-;-;-;-;20;2.180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;2.180
2026-09-17;2026-09-18;9,1500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6.990;1;6.990
2026-09-17;2026-09-18;9,3000;-;-;-;-;-;-;-;-;-;-;-;-;1;49.950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;49.950
2026-09-17;2026-09-18;9,3300;-;-;7;31.165;-;-;-;-;7;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;31.231
2026-09-17;2026-09-18;9,4000;-;-;1;18.695;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;18.695
2026-09-17;2026-09-18;9,4300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;141;114.276;-;-;6;266;1;18;-;-;-;-;148;114.560
2026-09-17;2026-09-18;9,5000;-;-;1;19.950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;95;-;-;2;20.045
2026-09-17;2026-09-18;9,5300;37;79.574;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;4.648;-;-;-;-;-;-;-;-;48;84.222
2026-09-17;2026-09-18;9,6000;-;-;2;199.950;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;199.950
2026-09-17;2026-09-18;9,6300;2;1.526;-;-;-;-;-;-;-;-;-;-;6;694;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;2.220
2026-09-17;2026-09-18;9,6500;1;10.245;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10.245
2026-09-17;2026-09-18;9,7000;-;-;-;-;-;-;-;-;1;150.035;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;27;-;-;2;150.062
2026-09-17;2026-09-18;9,7300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;24.390;-;-;-;-;-;-;-;-;-;-;2;24.390
2026-09-17;2026-09-18;9,7500;1;22.582;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;22.582
2026-09-17;2026-09-18;9,7550;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;75.575;-;-;1;75.575
2026-09-17;2026-09-18;9,8000;2;800.000;1;49.925;-;-;-;-;1;50.000;-;-;-;-;-;-;1;145.733;-;-;-;-;-;-;5;99.855;-;-;10;1.145.513
2026-09-17;2026-09-18;9,8100;-;-;-;-;-;-;-;-;-;-;-;-;12;95.975;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;95.975
2026-09-17;2026-09-18;9,8200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;2.392;-;-;-;-;-;-;-;-;-;-;16;2.392
2026-09-17;2026-09-18;9,8300;6;1.410.851;1;1.270;-;-;-;-;-;-;4;25.275;144;348.334;1;90.000;-;-;-;-;-;-;-;-;3;186.245;-;-;159;2.061.975
2026-09-17;2026-09-18;9,8500;-;-;1;6.348;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6.348
2026-09-17;2026-09-18;9,8600;-;-;-;-;-;-;-;-;-;-;-;-;26;258.148;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;258.148
2026-09-17;2026-09-18;9,9000;2;733.418;9;289.229;1;15.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;1.037.647
2026-09-17;2026-09-18;9,9200;-;-;-;-;-;-;1;99.990;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;99.990
2026-09-17;2026-09-18;9,9300;1;100.000;1;25.000;-;-;-;-;-;-;-;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;125.003
2026-09-17;2026-09-18;9,9400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.999.975;-;-;1;1.999.975
2026-09-17;2026-09-18;9,9500;-;-;2;17.791;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;17.791
2026-09-17;2026-09-18;10,0000;139;33.583;4;767.240;-;-;-;-;-;-;-;-;1;319.982;1;99.940;2;1.409.233;-;-;-;-;-;-;1;7.705;-;-;148;2.637.683
2026-09-17;2026-09-18;10,0100;1;5.000.000;-;-;-;-;-;-;-;-;-;-;-;-;1;1.000.000;-;-;-;-;-;-;-;-;-;-;-;-;2;6.000.000
2026-09-17;2026-09-18;10,0200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;209.800;-;-;-;-;-;-;-;-;-;-;-;-;2;209.800
2026-09-17;2026-09-18;10,0300;-;-;445;29.787;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;445;29.787
2026-09-17;2026-09-18;10,0500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1.999.900;-;-;-;-;-;-;-;-;-;-;3;1.999.900
2026-09-17;2026-09-18;10,0600;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;500.000;-;-;-;-;-;-;-;-;-;-;-;-;1;500.000
2026-09-17;2026-09-18;10,1500;-;-;-;-;-;-;-;-;-;-;-;-;22;37.585;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;37.585
2026-09-17;2026-09-18;10,2500;-;-;1;4.575;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.575
2026-09-17;2026-09-18;10,5000;-;-;1;349.915;-;-;3;470.627;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;820.542
2026-09-17;2026-09-18;10,5200;-;-;2;5.151;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5.151
2026-09-17;2026-09-18;10,6000;-;-;-;-;-;-;-;-;-;-;-;-;1;199.975;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;199.975
2026-09-17;2026-09-18;10,8000;6;2.604;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;2.604
2026-09-17;2026-09-18;10,9900;-;-;-;-;-;-;-;-;-;-;-;-;5;1.742;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1.742
2026-09-17;2026-09-18;11,5000;-;-;1;605.132;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;605.132
2026-09-17;2026-09-18;11,5300;-;-;-;-;-;-;-;-;-;-;-;-;16;13.137;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;13.137
2026-09-17;2026-09-18;11,6400;-;-;1;4.616;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.616
2026-09-17;2026-09-18;11,9700;-;-;1;1.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.000
2026-09-17;2026-09-18;12,0100;-;-;3;5.815;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;5.815
2026-09-17;2026-09-18;12,0400;-;-;-;-;-;-;-;-;-;-;-;-;5;1.213;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1.213
2026-09-17;2026-09-18;12,1000;1;83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;83
2026-09-17;2026-09-18;12,4200;-;-;-;-;-;-;-;-;-;-;-;-;4;1.578;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1.578
2026-09-17;2026-09-18;12,5000;1;161;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;161
2026-09-17;2026-09-18;12,5800;-;-;-;-;-;-;-;-;-;-;-;-;2;2.515;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2.515
2026-09-17;2026-09-18;12,6000;-;-;-;-;-;-;-;-;-;-;-;-;2;167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;167
2026-09-17;2026-09-18;12,7000;-;-;1;20.299;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;20.299
2026-09-17;2026-09-18;13,9700;-;-;1;4.800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.800
2026-09-17;2026-09-18;TOTAL;200;8.194.627;487;2.457.653;21;17.180;30;628.730;9;200.101;6;25.341;299;1.373.311;123;2.043.206;165;3.695.924;11;4.648;6;266;1;18;46;2.375.367;31;12.935;1.435;21.029.306
2026-09-17;2026-09-18;TCO;9,94;;10,41;;9,79;;10,27;;9,72;;9,83;;9,96;;9,90;;10,00;;9,53;;9,43;;9,43;;9,92;;9,00;;10,01;

